                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2045,                 4.5045,                 4.2233,                      0,                      0,                      0,                      0,                 3.1767,                  4.381,                 4.1593,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0559,                 4.4232,                 4.1906,                      0,                      0,                      0,                      0,                  3.164,                  4.371,                 4.1527,             0.00012098,             0.00012098,             0.00012098
                      3,                  4.136,                 4.2831,                 4.1032,                      0,                      0,                      0,                      0,                 3.1208,                 4.3306,                 4.1268,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.9066,                 3.9766,                 3.9758,                      0,                      0,                      0,                      0,                 3.0189,                 4.2442,                 4.0743,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.3984,                 3.6421,                 3.8337,                      0,                      0,                      0,                      0,                 2.8983,                 4.1143,                 4.0041,             0.00031001,             0.00031001,             0.00031001
                      6,                 2.9414,                 3.3306,                 3.5698,                      0,                      0,                      0,                      0,                 2.8291,                 4.0006,                 3.9368,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.6693,                  3.075,                 3.2694,                      0,                      0,                      0,                      0,                 2.7523,                 3.9368,                 3.8508,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.5013,                 2.8028,                 2.9037,                0.00185,                0.29186,                0.00138,                0.00027,                 2.8426,                 3.9058,                 3.8347,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.2374,                 2.5909,                 2.6347,                0.00198,                0.40917,                 0.0046,                0.00123,                 2.8488,                 3.8515,                 3.5703,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.0898,                 2.4093,                 2.4084,                0.00143,                0.22004,                0.00173,                 0.0003,                 3.0026,                 4.2858,                 3.9901,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.9609,                 2.2877,                 2.2497,                0.00187,                0.35064,                0.01039,                  0.002,                 3.1203,                 4.3381,                 3.9552,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.8956,                 2.1347,                 2.1099,                0.00227,                0.41919,                0.03572,                0.00748,                  3.255,                 4.0499,                 3.7024,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.7559,                 2.0235,                 2.0096,                0.00423,                0.31781,                0.02866,                0.00584,                 2.8235,                  4.253,                 3.7783,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.6666,                 1.8589,                 1.9291,                0.00555,                0.32141,                0.02079,                0.00549,                 3.0515,                 4.1665,                 3.7304,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.5796,                 1.7419,                  1.842,                0.00929,                 0.5591,                0.06545,                0.02058,                 2.7807,                 3.8648,                 3.3304,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.5478,                 1.6644,                 1.7997,                0.37568,                0.11641,                0.13036,                0.05843,                 2.4203,                 3.2386,                 2.5206,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.5157,                 1.5917,                 1.7526,                 0.3934,                0.22293,                0.20487,                0.09764,                 2.2143,                 3.0197,                  2.279,              0.0006763,              0.0006763,              0.0006763
                     18,                  1.476,                 1.4861,                 1.7249,                0.49129,                0.17007,                0.24789,                0.12829,                 2.0859,                 3.0131,                 2.2374,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.4551,                 1.4313,                 1.6693,                0.50854,                0.17522,                0.24778,                0.10229,                 2.4354,                 2.9699,                 2.4491,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.4224,                 1.3865,                 1.6313,                0.62934,                0.20261,                0.40998,                0.22663,                 1.7903,                 2.6268,                 2.0023,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.3893,                  1.406,                 1.6061,                0.58797,                0.45595,                0.54868,                0.27017,                 1.7951,                 2.1424,                 1.8559,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.3637,                 1.3245,                 1.5896,                0.70424,                0.48419,                0.60611,                0.36523,                 1.4818,                 2.1497,                 1.7717,             0.00066452,             0.00066452,             0.00066452
                     23,                  1.352,                  1.306,                 1.5629,                0.70497,                 0.6908,                0.72969,                0.44177,                 1.3048,                 1.5231,                 1.5576,             0.00066216,             0.00066216,             0.00066216
                     24,                   1.34,                 1.2903,                 1.5591,                0.73096,                0.75035,                0.79898,                0.51462,                 1.1726,                 1.2315,                 1.4648,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.3087,                 1.2476,                   1.53,                0.65387,                0.75502,                0.74116,                 0.4766,                 1.2424,                 1.2977,                 1.4786,             0.00065745,             0.00065745,             0.00065745
