                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1971,                 4.3663,                 4.1404,                      0,                      0,                      0,                      0,                 2.7031,                 11.372,                 3.6187,             0.00022848,             0.00022848,             0.00022848
                      2,                   3.09,                  3.636,                 3.6593,                      0,                      0,                      0,                      0,                 2.6402,                 11.271,                  3.563,             0.00046257,             0.00046257,             0.00046257
                      3,                 2.5214,                 3.0286,                  2.846,                0.00013,                0.00476,                  6e-05,                  4e-05,                 2.1059,                 4.1437,                 3.2667,              0.0006951,              0.0006951,              0.0006951
                      4,                 2.0593,                 2.5535,                 2.3144,                 0.0074,                0.71503,                0.03556,                 0.0145,                 1.7852,                  8.332,                 2.7585,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.7941,                 2.2127,                 2.0782,                0.19474,                0.12429,                0.05802,                0.01771,                 1.9971,                 20.218,                 2.5404,             0.00070458,             0.00070458,             0.00070458
                      6,                 1.6134,                 1.9652,                 1.9165,                0.34985,                 0.4682,                0.34409,                0.18971,                 1.3586,                 16.383,                 1.8767,             0.00070222,             0.00070222,             0.00070222
                      7,                 1.5305,                 1.8168,                  1.844,                0.50557,                0.47558,                 0.4883,                0.30405,                 1.1634,                 9.8086,                 1.7178,             0.00069986,             0.00069986,             0.00069986
                      8,                 1.4672,                 1.6555,                 1.7789,                0.41983,                0.50184,                0.45058,                0.24014,                 1.4594,                 28.756,                 1.9058,             0.00069751,             0.00069751,             0.00069751
                      9,                 1.4242,                 1.5345,                 1.7276,                0.50813,                0.59467,                0.57289,                0.34107,                 1.1775,                 24.235,                 1.7043,             0.00069515,             0.00069515,             0.00069515
                     10,                 1.4019,                 1.4604,                  1.697,                0.61903,                0.68121,                 0.6772,                0.40786,                 1.2131,                 28.735,                 1.6955,             0.00069279,             0.00069279,             0.00069279
                     11,                 1.4047,                   1.41,                 1.6926,                0.54098,                0.69337,                 0.6447,                0.41104,                 1.0797,                 40.986,                 1.5895,             0.00069044,             0.00069044,             0.00069044
                     12,                 1.3633,                 1.3538,                 1.6441,                0.52671,                0.62038,                0.58902,                0.34971,                 1.1746,                 33.842,                 1.6299,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.3643,                  1.348,                 1.6689,                0.68307,                0.69001,                0.73751,                0.45788,                 1.1442,                 9.5698,                 1.6302,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.3221,                 1.2707,                 1.6153,                0.65144,                0.71571,                 0.7408,                0.44224,                 1.1286,                 24.517,                 1.5912,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.2919,                 1.2303,                 1.5883,                0.55981,                0.67083,                0.64324,                0.39049,                 1.1159,                  39.08,                  1.599,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.2968,                 1.2252,                 1.6032,                0.72173,                 0.7587,                0.79942,                0.52428,                 1.0215,                 8.7396,                 1.5097,             0.00067866,             0.00067866,             0.00067866
                     17,                  1.273,                 1.2118,                 1.5742,                0.72118,                0.78212,                0.80595,                0.53613,                0.99859,                 11.861,                 1.4953,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.2554,                 1.1848,                 1.5769,                0.69402,                0.79004,                0.79717,                 0.5246,                 1.0149,                 71.027,                 1.4954,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.2859,                 1.1432,                  1.567,                0.72465,                0.76641,                0.81327,                0.54059,                  1.002,                 36.494,                 1.4702,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.2194,                  1.104,                 1.5254,                0.74063,                0.81823,                0.85774,                0.58731,                0.94056,                 28.928,                 1.4194,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.2168,                 1.0747,                 1.5208,                0.79047,                0.78975,                0.86106,                0.57357,                0.99311,                 10.053,                  1.477,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.2303,                 1.0918,                 1.5408,                0.73044,                0.79477,                0.84147,                0.58205,                0.93839,                 34.303,                 1.4163,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.2279,                 1.0731,                 1.5271,                0.75548,                0.83488,                0.86195,                0.59339,                0.95781,                 27.548,                  1.429,             0.00066216,             0.00066216,             0.00066216
                     24,                 1.1991,                 1.0654,                 1.5145,                0.72898,                0.75491,                0.79648,                0.53671,                0.96575,                  26.11,                 1.4468,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.2011,                  1.035,                 1.5041,                0.75545,                0.82616,                 0.8668,                0.59824,                0.94949,                 35.982,                 1.4194,             0.00065745,             0.00065745,             0.00065745
                     26,                 1.2289,                 1.0675,                 1.5352,                0.79191,                0.79126,                0.86734,                0.59627,                0.91801,                 31.823,                 1.3888,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.1886,                 1.0108,                 1.4852,                0.74994,                0.87296,                 0.8817,                0.60563,                0.92361,                 33.422,                 1.4086,             0.00065274,             0.00065274,             0.00065274
                     28,                  1.191,                 1.0164,                 1.5067,                0.75112,                 0.8196,                0.85699,                0.58446,                0.94021,                 20.224,                 1.4147,             0.00065038,             0.00065038,             0.00065038
                     29,                  1.171,                 1.0237,                 1.5083,                0.78415,                0.83645,                0.87388,                0.59267,                0.97809,                 13.215,                 1.4395,             0.00064803,             0.00064803,             0.00064803
                     30,                 1.1605,                 1.0061,                 1.4734,                0.65083,                0.72907,                0.72125,                0.40546,                 1.2803,                 35.429,                 1.6653,             0.00064567,             0.00064567,             0.00064567
                     31,                 1.1618,                 0.9766,                  1.481,                0.83104,                0.82076,                0.88657,                0.61325,                0.94664,                 3.9415,                 1.4217,             0.00064331,             0.00064331,             0.00064331
                     32,                 1.1646,                0.97804,                 1.4704,                0.77426,                0.85253,                0.88406,                0.60286,                0.94223,                 11.463,                  1.428,             0.00064096,             0.00064096,             0.00064096
                     33,                 1.1427,                 0.9553,                 1.4599,                0.76577,                0.79315,                0.85087,                0.58593,                0.93482,                 38.688,                 1.4131,              0.0006386,              0.0006386,              0.0006386
                     34,                 1.1501,                0.94201,                 1.4654,                0.75309,                0.85429,                0.88144,                0.61036,                0.94379,                 38.926,                 1.4064,             0.00063625,             0.00063625,             0.00063625
                     35,                 1.1375,                0.96884,                 1.4646,                 0.7948,                0.81331,                0.88184,                0.59844,                0.95898,                 13.683,                 1.4336,             0.00063389,             0.00063389,             0.00063389
                     36,                 1.1332,                0.92018,                 1.4441,                  0.786,                0.86088,                0.89558,                0.60898,                0.95833,                 5.0816,                 1.4349,             0.00063153,             0.00063153,             0.00063153
                     37,                 1.1398,                0.94042,                 1.4482,                0.79902,                0.88866,                0.91123,                0.64488,                0.90393,                 10.189,                 1.3789,             0.00062918,             0.00062918,             0.00062918
                     38,                 1.1446,                0.92266,                 1.4789,                0.78788,                0.87344,                0.90028,                0.62484,                0.93074,                  20.32,                 1.4017,             0.00062682,             0.00062682,             0.00062682
                     39,                 1.1341,                0.91968,                 1.4452,                0.83185,                0.83092,                0.89955,                0.63299,                 0.9105,                 33.396,                 1.3823,             0.00062446,             0.00062446,             0.00062446
                     40,                 1.1417,                0.91043,                 1.4517,                0.79623,                0.83596,                0.89539,                0.62299,                 0.9184,                 42.364,                 1.3922,             0.00062211,             0.00062211,             0.00062211
                     41,                 1.1318,                0.88775,                 1.4428,                0.80865,                0.85801,                0.90095,                0.61068,                0.98001,                 2.9037,                 1.4408,             0.00061975,             0.00061975,             0.00061975
                     42,                  1.121,                0.88872,                 1.4392,                0.80712,                0.87892,                0.90643,                0.63651,                0.90939,                 3.8686,                 1.3709,              0.0006174,              0.0006174,              0.0006174
                     43,                 1.1088,                0.89807,                 1.4329,                0.79981,                0.87099,                0.89596,                0.63387,                0.91709,                 18.887,                  1.378,             0.00061504,             0.00061504,             0.00061504
                     44,                 1.1192,                0.88911,                 1.4281,                0.82092,                0.81221,                0.88049,                0.59002,                0.95312,                 2.5958,                 1.4294,             0.00061268,             0.00061268,             0.00061268
                     45,                 1.1175,                 0.8684,                 1.4225,                0.82256,                 0.8698,                0.91584,                0.64757,                0.90165,                 4.2444,                 1.3653,             0.00061033,             0.00061033,             0.00061033
                     46,                 1.1109,                0.85049,                 1.4247,                 0.8246,                 0.8725,                0.91376,                0.64658,                0.90572,                 13.617,                 1.3612,             0.00060797,             0.00060797,             0.00060797
                     47,                 1.1019,                0.86335,                 1.4328,                 0.8241,                 0.8839,                0.91671,                  0.641,                0.92073,                 7.6954,                 1.3844,             0.00060561,             0.00060561,             0.00060561
                     48,                 1.1126,                 0.8719,                 1.4436,                0.82896,                0.87857,                0.91704,                0.64821,                0.90156,                 20.517,                 1.3756,             0.00060326,             0.00060326,             0.00060326
                     49,                 1.1144,                0.86295,                 1.4281,                0.83516,                0.89833,                0.92616,                0.66352,                0.87035,                 5.6682,                 1.3367,              0.0006009,              0.0006009,              0.0006009
                     50,                 1.1108,                0.85778,                 1.4315,                0.82579,                0.88113,                0.91867,                0.63314,                0.92233,                 3.0157,                 1.3791,             0.00059855,             0.00059855,             0.00059855
                     51,                 1.0733,                0.86895,                 1.4066,                0.80428,                0.86628,                0.89945,                0.64474,                0.87984,                 39.243,                 1.3463,             0.00059619,             0.00059619,             0.00059619
                     52,                 1.0885,                0.86452,                 1.4137,                0.85814,                0.87444,                  0.926,                0.65075,                0.91981,                 5.1984,                 1.3745,             0.00059383,             0.00059383,             0.00059383
                     53,                 1.0937,                0.84115,                 1.4081,                0.82207,                0.86977,                0.91872,                0.65701,                0.87605,                 12.977,                 1.3507,             0.00059148,             0.00059148,             0.00059148
                     54,                 1.0945,                0.85681,                 1.4156,                0.82345,                0.86706,                0.90656,                0.64867,                0.89312,                 29.865,                  1.353,             0.00058912,             0.00058912,             0.00058912
                     55,                 1.0887,                0.84572,                 1.3968,                0.86327,                  0.872,                0.92979,                0.66318,                0.90264,                 4.0346,                 1.3586,             0.00058677,             0.00058677,             0.00058677
                     56,                 1.0538,                0.81711,                 1.4006,                0.84181,                0.88848,                0.92524,                0.66285,                0.87957,                 10.477,                  1.342,             0.00058441,             0.00058441,             0.00058441
                     57,                 1.0645,                0.79993,                 1.3961,                0.82617,                 0.8837,                0.92117,                0.66159,                0.88115,                 9.6068,                 1.3467,             0.00058205,             0.00058205,             0.00058205
                     58,                 1.0605,                0.82845,                 1.4182,                0.82791,                0.87403,                0.91851,                0.64897,                0.89825,                 17.455,                 1.3625,              0.0005797,              0.0005797,              0.0005797
                     59,                 1.0606,                 0.8237,                 1.3983,                 0.8421,                0.88042,                0.92078,                0.66694,                0.87825,                  23.34,                  1.353,             0.00057734,             0.00057734,             0.00057734
                     60,                 1.0556,                0.79034,                 1.3985,                0.85035,                0.86652,                 0.9289,                0.65899,                0.89349,                 24.575,                 1.3484,             0.00057498,             0.00057498,             0.00057498
                     61,                  1.074,                0.83545,                 1.4193,                0.84944,                0.87363,                 0.9269,                0.65921,                0.90574,                 7.4177,                 1.3722,             0.00057263,             0.00057263,             0.00057263
                     62,                  1.053,                0.80446,                 1.3786,                0.86907,                0.86947,                 0.9307,                0.66516,                0.87949,                 2.6651,                 1.3378,             0.00057027,             0.00057027,             0.00057027
                     63,                 1.0608,                0.79867,                  1.394,                0.84321,                0.89581,                0.92684,                0.66763,                0.87308,                 5.9393,                 1.3342,             0.00056792,             0.00056792,             0.00056792
                     64,                 1.0679,                0.79579,                 1.3908,                0.85353,                0.86421,                0.92676,                0.67439,                0.86629,                 4.8684,                 1.3304,             0.00056556,             0.00056556,             0.00056556
                     65,                  1.057,                0.78489,                 1.3862,                 0.8565,                0.87337,                 0.9277,                 0.6644,                0.89731,                 4.2329,                 1.3589,              0.0005632,              0.0005632,              0.0005632
                     66,                 1.0646,                0.79887,                 1.3901,                0.81164,                0.89132,                 0.9156,                0.65833,                0.88656,                 19.884,                  1.346,             0.00056085,             0.00056085,             0.00056085
