                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2438,                 4.5328,                 4.1893,                      0,                      0,                      0,                      0,                 3.1779,                 4.3765,                 4.1565,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0832,                 4.4576,                 4.1658,                      0,                      0,                      0,                      0,                 3.1697,                 4.3682,                 4.1485,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.1328,                 4.3561,                 4.0846,                      0,                      0,                      0,                      0,                 3.1412,                 4.3494,                 4.1292,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.8475,                 4.1301,                  3.962,                      0,                      0,                      0,                      0,                 3.0664,                 4.3064,                 4.0961,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.3887,                 3.8515,                 3.8261,                      0,                      0,                      0,                      0,                 3.0012,                 4.2558,                 4.0586,             0.00031001,             0.00031001,             0.00031001
                      6,                 2.9945,                 3.4705,                 3.5485,                      0,                      0,                      0,                      0,                 2.8928,                 4.1556,                  3.984,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.6963,                  3.131,                 3.3049,                0.00027,                0.10417,                0.00019,                  4e-05,                 2.9033,                 4.1295,                 3.9361,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.5116,                 2.7924,                 2.9504,                0.00293,                0.40922,                0.00274,                0.00063,                 2.9477,                  4.153,                 3.8712,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.2394,                 2.4713,                 2.6723,                0.00327,                0.50566,                0.00562,                0.00121,                 2.8828,                 4.1221,                 3.7936,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.0842,                 2.2567,                 2.4543,                0.00355,                0.48759,                0.01076,                0.00206,                 3.4505,                 4.0987,                 3.7383,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.9264,                 2.1034,                 2.2707,                0.00601,                0.52053,                0.03048,                0.00594,                  3.439,                 3.9617,                 3.7719,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.8141,                 1.9581,                 2.1151,                0.00354,                0.17681,                0.00506,                0.00086,                 3.5642,                 4.4003,                  4.207,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.7084,                 1.8466,                 1.9901,                0.00076,                0.02826,                0.00206,                0.00054,                 3.5918,                 4.4238,                 4.3126,             0.00068573,             0.00068573,             0.00068573
