                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2108,                 4.4634,                 4.2498,                      0,                      0,                      0,                      0,                 3.1783,                 4.3777,                 4.1632,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0478,                 4.4183,                 4.1985,                      0,                      0,                      0,                      0,                 3.1705,                 4.3693,                 4.1592,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.1015,                 4.2795,                 4.0881,                      0,                      0,                      0,                      0,                 3.1225,                 4.3308,                 4.1342,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.8688,                 4.0267,                 3.9631,                      0,                      0,                      0,                      0,                 3.0295,                 4.2696,                 4.0852,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.3823,                 3.7262,                 3.8568,                      0,                      0,                      0,                      0,                 2.9011,                 4.1752,                 4.0038,             0.00031001,             0.00031001,             0.00031001
                      6,                 2.9735,                 3.4167,                 3.5838,                      0,                      0,                      0,                      0,                 2.7934,                 4.0203,                 3.8965,             0.00037218,             0.00037218,             0.00037218
                      7,                  2.705,                 3.1435,                 3.2708,                0.00057,                0.16087,                0.00055,                 0.0001,                 2.7168,                 3.9576,                 3.8172,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.5324,                 2.8543,                 2.8933,                0.00325,                0.50032,                0.00339,                0.00081,                 2.7032,                 3.9949,                 3.6799,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.2605,                 2.6142,                 2.6436,                0.50167,                 0.1875,                  0.007,                0.00174,                 3.0792,                 4.2208,                 3.2127,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.0684,                 2.3971,                 2.4236,                0.26536,                0.15284,                0.01467,                0.00277,                 3.4552,                 3.9446,                 3.3683,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.9146,                  2.224,                 2.2562,                0.00315,                0.35471,                0.01703,                0.00289,                 3.5361,                  4.373,                 4.1754,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.8148,                 2.0251,                 2.1043,                0.52464,                0.17118,                0.04069,                 0.0075,                 3.8851,                 3.5565,                 3.6987,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.7158,                 1.9015,                 1.9862,                0.00518,                0.50262,                0.05264,                0.01002,                 3.7393,                 3.7197,                 3.7041,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.6325,                 1.7625,                 1.9088,                0.00428,                0.32327,                0.02784,                0.00422,                  3.712,                 4.1314,                 4.1228,             0.00068337,             0.00068337,             0.00068337
                     15,                  1.591,                 1.6827,                  1.844,                0.03302,                0.60334,                0.10345,                0.02739,                 3.3971,                 3.2313,                 3.1548,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.5449,                 1.6152,                 1.7912,                0.44851,                0.05342,                0.10731,                0.03684,                 2.9501,                 3.7431,                 3.0856,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.5054,                 1.5422,                 1.7505,                0.00504,                0.20274,                0.03475,                0.01392,                 3.1337,                  4.173,                 3.6954,              0.0006763,              0.0006763,              0.0006763
