                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1977,                 4.4774,                 4.2178,                      0,                      0,                      0,                      0,                 3.1759,                  4.377,                 4.1592,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0453,                 4.4442,                 4.1896,                      0,                      0,                      0,                      0,                 3.1669,                 4.3728,                  4.152,             0.00012098,             0.00012098,             0.00012098
                      3,                  4.131,                 4.3672,                 4.1177,                      0,                      0,                      0,                      0,                 3.1304,                 4.3546,                 4.1279,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.9194,                 4.2083,                 4.0104,                      0,                      0,                      0,                      0,                 3.0632,                  4.315,                 4.0846,             0.00024743,             0.00024743,             0.00024743
                      5,                  3.448,                 3.9463,                 3.8912,                      0,                      0,                      0,                      0,                 3.0229,                 4.2789,                  4.044,             0.00031001,             0.00031001,             0.00031001
                      6,                 3.0017,                 3.5732,                 3.6135,                0.00046,                0.07521,                 0.0003,                  5e-05,                 2.9238,                  4.264,                 3.9614,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.7569,                 3.1773,                 3.2749,                0.00046,                0.07521,                 0.0003,                  5e-05,                 2.8767,                   4.24,                 3.9157,             0.00043391,             0.00043391,             0.00043391
                      8,                  2.561,                 2.7838,                 2.8688,                0.00074,                0.15089,                0.00071,                0.00013,                 2.9102,                 4.2216,                 3.9282,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.2916,                 2.5139,                 2.6058,                 0.0035,                0.37329,                0.00484,                0.00095,                 3.0144,                 4.3339,                 3.8427,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.1098,                 2.3508,                 2.3959,                0.00143,                0.20983,                0.00109,                0.00021,                 2.9977,                 4.3762,                 4.0572,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.9683,                 2.1955,                 2.2257,                0.00477,                0.26215,                0.00495,                0.00133,                 2.9505,                 4.2279,                  3.877,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.8724,                 2.0699,                 2.0952,                0.00457,                0.43992,                0.01326,                0.00232,                 3.1952,                 4.0693,                 3.7222,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.7343,                 1.9273,                 1.9862,                0.27005,                0.06335,                0.02058,                0.00477,                  2.619,                 3.8994,                 3.1729,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.6638,                 1.8035,                 1.9227,                0.77507,                0.02071,                0.01538,                0.00287,                 3.0837,                 4.0717,                 3.6073,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.5877,                 1.7152,                 1.8463,                0.52702,                0.05324,                0.06098,                0.01689,                 2.7816,                 3.5835,                 2.9688,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.5476,                 1.6725,                 1.7985,                 0.1299,                0.06922,                0.06832,                0.01977,                 3.2674,                 3.6364,                 3.0927,             0.00067866,             0.00067866,             0.00067866
