                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.206,                 4.5135,                 4.2237,                      0,                      0,                      0,                      0,                 3.1826,                 4.3718,                 4.1588,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0508,                 4.4702,                  4.188,                      0,                      0,                      0,                      0,                 3.1736,                 4.3679,                 4.1527,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.0545,                 4.3535,                  4.105,                      0,                      0,                      0,                      0,                 3.1549,                 4.3536,                 4.1331,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.6845,                 4.1089,                 3.9567,                      0,                      0,                      0,                      0,                   3.12,                   4.33,                 4.1025,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.1687,                 3.8241,                 3.7715,                      0,                      0,                      0,                      0,                 3.0302,                 4.2896,                 4.0448,             0.00031001,             0.00031001,             0.00031001
                      6,                 2.8299,                  3.452,                 3.4327,                      0,                      0,                      0,                      0,                 2.9434,                 4.2434,                 3.9771,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.5931,                 3.1587,                 3.1862,                0.00042,                0.07097,                0.00028,                  5e-05,                 2.9397,                 4.2529,                 3.9587,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.4321,                    2.8,                 2.8123,                0.00179,                0.37195,                0.00233,                0.00057,                 2.9357,                 4.0894,                 3.6526,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.1798,                 2.5288,                 2.5413,                0.00302,                0.39707,                0.00649,                0.00118,                 2.8452,                 4.1584,                 3.6406,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.0159,                 2.3744,                 2.3344,                0.00162,                0.27621,                0.01914,                0.00301,                 3.0181,                 4.3873,                 3.9201,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.8979,                 2.2172,                 2.1824,                0.00176,                0.31284,                0.03209,                0.00545,                 3.6822,                 3.8743,                 3.7468,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.8234,                 2.0828,                  2.056,                0.00231,                0.31805,                0.03064,                0.00501,                  2.979,                 4.2346,                 3.8613,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.7056,                 1.9775,                 1.9574,                0.00803,                0.72748,                0.09942,                0.02368,                 3.0366,                 3.3842,                 3.0367,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.6375,                 1.8418,                  1.874,                0.00263,                0.12021,                0.00282,                0.00045,                 3.5296,                 4.3111,                 4.1661,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.5653,                 1.7621,                 1.7991,                0.00703,                0.53175,                0.03296,                0.00643,                 3.5834,                 3.6519,                 3.5164,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.5277,                 1.6944,                 1.7514,                0.35055,                0.19512,                0.19373,                0.08343,                 2.2696,                 2.8096,                 2.4279,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.5206,                 1.6437,                 1.7437,                0.35633,                0.26795,                0.25473,                0.11145,                 2.2477,                 2.5656,                 2.3508,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.4817,                 1.5622,                 1.7012,                 0.3763,                0.39953,                0.34741,                0.18637,                 1.6621,                 2.2721,                 2.0066,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.4688,                 1.5338,                 1.6631,                0.50313,                 0.4985,                0.53057,                 0.3277,                  1.307,                 1.7711,                 1.6737,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.4668,                 1.4694,                 1.6505,                0.52076,                0.55458,                 0.5466,                0.32536,                 1.4222,                 1.8252,                 1.7715,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.4384,                 1.5159,                 1.6332,                0.54079,                  0.321,                0.45007,                0.23057,                 1.8514,                 2.3448,                 2.0091,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.3875,                 1.4045,                 1.6112,                0.54631,                0.46056,                0.51516,                0.28479,                 1.6126,                 2.0825,                 1.8136,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.3951,                 1.4016,                 1.5742,                0.63495,                0.45563,                0.53755,                0.30046,                 1.6644,                 2.0825,                 1.9112,             0.00066216,             0.00066216,             0.00066216
                     24,                 1.3566,                 1.3844,                 1.5677,                0.58888,                0.52509,                0.54771,                 0.3186,                 1.4367,                 1.9393,                 1.8111,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.3571,                 1.3691,                  1.559,                0.62578,                0.68637,                0.68404,                0.41023,                 1.3371,                 1.4341,                 1.5732,             0.00065745,             0.00065745,             0.00065745
                     26,                 1.3923,                 1.3653,                 1.5834,                0.61371,                0.65378,                0.66621,                0.42593,                 1.2199,                  1.414,                 1.5348,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.3459,                 1.3161,                 1.5394,                0.53436,                0.59914,                0.56329,                0.32754,                 1.3792,                  1.674,                  1.667,             0.00065274,             0.00065274,             0.00065274
                     28,                 1.3364,                 1.2921,                  1.541,                0.66164,                0.72677,                 0.7519,                0.49302,                 1.1419,                 1.1886,                 1.4193,             0.00065038,             0.00065038,             0.00065038
                     29,                 1.3342,                 1.2949,                 1.5413,                0.61517,                0.68789,                0.69046,                0.43245,                 1.2568,                 1.3373,                 1.4923,             0.00064803,             0.00064803,             0.00064803
                     30,                 1.3069,                  1.269,                 1.5194,                 0.6564,                0.74764,                0.72636,                0.47324,                 1.1956,                 1.2678,                 1.4496,             0.00064567,             0.00064567,             0.00064567
                     31,                 1.3138,                 1.2489,                 1.5193,                0.59962,                 0.7267,                0.73526,                0.42995,                 1.3007,                 1.2497,                 1.5268,             0.00064331,             0.00064331,             0.00064331
                     32,                 1.3165,                 1.2838,                 1.5057,                0.71495,                 0.7386,                0.76948,                0.48731,                 1.2045,                 1.1335,                 1.4505,             0.00064096,             0.00064096,             0.00064096
                     33,                 1.2831,                 1.2278,                  1.501,                0.67635,                0.72991,                0.75202,                 0.4909,                 1.1855,                 1.2132,                 1.4619,              0.0006386,              0.0006386,              0.0006386
                     34,                 1.2871,                 1.2102,                  1.481,                0.47805,                0.68057,                0.57997,                0.35978,                 1.2632,                  1.588,                 1.4959,             0.00063625,             0.00063625,             0.00063625
                     35,                 1.2492,                 1.1804,                 1.4595,                0.50953,                0.56825,                0.52686,                 0.3001,                 1.4733,                 1.6617,                 1.7276,             0.00063389,             0.00063389,             0.00063389
                     36,                 1.2936,                 1.2122,                 1.4783,                0.58726,                0.75096,                0.71223,                0.47454,                 1.1413,                 1.2637,                 1.4277,             0.00063153,             0.00063153,             0.00063153
                     37,                 1.2579,                 1.1811,                 1.4607,                0.66641,                0.80408,                0.77454,                0.52323,                 1.1077,                 1.2133,                 1.3367,             0.00062918,             0.00062918,             0.00062918
                     38,                 1.2412,                 1.1502,                  1.456,                0.66944,                 0.7403,                0.77349,                0.50461,                 1.1834,                 1.2586,                 1.4455,             0.00062682,             0.00062682,             0.00062682
                     39,                 1.2443,                 1.1672,                 1.4524,                0.77179,                0.79386,                 0.8334,                0.56056,                 1.0863,                 1.0164,                 1.3683,             0.00062446,             0.00062446,             0.00062446
                     40,                 1.2892,                 1.1541,                 1.4843,                0.66178,                 0.7375,                0.73232,                0.47928,                 1.1191,                 1.1709,                 1.4169,             0.00062211,             0.00062211,             0.00062211
