                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1591,                 9.8471,                 4.1318,                      0,                      0,                      0,                      0,                 1.7484,                 25.535,                 3.5997,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.2036,                 8.3191,                 3.5878,                      0,                      0,                      0,                      0,                 1.7114,                 25.531,                 3.5269,             0.00046257,             0.00046257,             0.00046257
                      3,                 1.6837,                 6.8191,                 2.8858,                0.00038,                0.02071,                0.00021,                  9e-05,                 1.2473,                 12.422,                 3.1919,              0.0006951,              0.0006951,              0.0006951
                      4,                 1.3416,                 5.6712,                 2.3933,                0.36837,                0.10327,                0.04752,                0.01308,                 1.6058,                 73.459,                 2.8772,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.1641,                 4.7244,                 2.1744,                0.24378,                0.29207,                0.19602,                0.09917,                0.84916,                 40.485,                 2.0345,             0.00070458,             0.00070458,             0.00070458
                      6,                 1.0146,                 4.0363,                 1.9932,                 0.4594,                0.59554,                0.54428,                0.30744,                 0.7651,                 88.087,                 1.8545,             0.00070222,             0.00070222,             0.00070222
                      7,                 0.9645,                 3.7118,                 1.9319,                0.52238,                0.67165,                 0.5909,                0.31922,                0.78076,                 121.36,                 1.8626,             0.00069986,             0.00069986,             0.00069986
                      8,                0.90226,                 3.3738,                 1.8386,                0.55002,                0.65948,                 0.6399,                0.32876,                0.83728,                 146.88,                 1.9447,             0.00069751,             0.00069751,             0.00069751
                      9,                 0.8626,                 3.1804,                 1.7781,                0.65445,                0.68767,                0.71332,                0.42734,                0.66903,                 74.357,                 1.6972,             0.00069515,             0.00069515,             0.00069515
                     10,                0.84341,                 3.1096,                 1.7428,                0.71456,                0.71515,                0.75856,                0.46209,                0.63278,                 50.441,                 1.6341,             0.00069279,             0.00069279,             0.00069279
                     11,                0.83671,                 2.9973,                 1.7343,                0.64215,                0.73568,                0.73928,                0.45541,                0.64087,                 88.823,                 1.6369,             0.00069044,             0.00069044,             0.00069044
                     12,                0.82708,                 2.9345,                 1.7023,                0.68465,                0.77837,                0.76013,                 0.4765,                0.62846,                  120.6,                 1.6182,             0.00068808,             0.00068808,             0.00068808
                     13,                0.81762,                 2.8569,                 1.7091,                 0.7491,                0.71579,                0.78851,                0.48286,                0.63175,                 14.042,                 1.6101,             0.00068573,             0.00068573,             0.00068573
                     14,                0.78554,                 2.7597,                 1.6525,                0.74191,                0.79954,                0.81408,                0.49627,                0.65534,                 73.368,                 1.6349,             0.00068337,             0.00068337,             0.00068337
                     15,                0.77013,                 2.6509,                 1.6291,                0.69882,                0.79539,                0.80795,                0.52273,                0.59183,                 117.39,                  1.535,             0.00068101,             0.00068101,             0.00068101
                     16,                0.76651,                 2.6668,                 1.6342,                0.76659,                0.78338,                0.82986,                0.48794,                0.68117,                 11.602,                 1.6895,             0.00067866,             0.00067866,             0.00067866
                     17,                0.75984,                   2.61,                 1.6199,                  0.731,                0.81537,                0.82866,                0.53537,                0.57958,                 45.733,                 1.5307,              0.0006763,              0.0006763,              0.0006763
                     18,                0.74934,                 2.5999,                 1.6199,                0.62131,                0.78383,                0.76435,                0.45576,                0.66738,                  161.9,                 1.6527,             0.00067394,             0.00067394,             0.00067394
                     19,                0.76141,                 2.5174,                 1.5991,                0.78829,                0.77787,                0.84242,                0.54441,                0.57542,                 25.448,                 1.5134,             0.00067159,             0.00067159,             0.00067159
                     20,                0.71824,                 2.4017,                 1.5594,                0.76539,                 0.8089,                0.86004,                0.56797,                0.56873,                  54.63,                 1.5019,             0.00066923,             0.00066923,             0.00066923
                     21,                0.71675,                 2.3864,                 1.5556,                0.76178,                0.81939,                0.85144,                0.53943,                0.60287,                 11.933,                 1.5483,             0.00066688,             0.00066688,             0.00066688
                     22,                0.73393,                 2.3973,                 1.5876,                0.65629,                0.82353,                0.83097,                 0.5508,                0.56019,                 106.73,                 1.4833,             0.00066452,             0.00066452,             0.00066452
                     23,                0.71307,                 2.3475,                 1.5494,                0.77737,                0.83949,                0.86662,                0.56861,                0.56413,                 32.321,                 1.4898,             0.00066216,             0.00066216,             0.00066216
                     24,                0.70551,                 2.3153,                 1.5534,                0.78335,                0.82801,                0.85649,                0.56522,                0.57299,                 87.822,                 1.5131,             0.00065981,             0.00065981,             0.00065981
                     25,                0.70301,                 2.2968,                 1.5345,                0.79116,                0.82557,                0.88379,                0.58775,                0.55672,                 50.189,                 1.4672,             0.00065745,             0.00065745,             0.00065745
                     26,                0.72115,                 2.3398,                 1.5669,                0.81627,                0.82902,                0.88682,                0.59318,                0.55523,                 34.961,                 1.4652,             0.00065509,             0.00065509,             0.00065509
