                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1246,                 9.7298,                 4.0942,                      0,                      0,                      0,                      0,                 1.7187,                 25.511,                 3.5898,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.1855,                 8.0595,                 3.5869,                      0,                      0,                      0,                      0,                 1.5938,                 24.775,                 3.5004,             0.00046257,             0.00046257,             0.00046257
                      3,                 1.6938,                  6.565,                 2.8858,                0.00416,                0.50207,                0.00644,                 0.0026,                 1.2523,                 8.2579,                 3.2536,              0.0006951,              0.0006951,              0.0006951
                      4,                 1.3457,                 5.4056,                 2.3925,                0.18265,                0.06891,                  0.063,                0.01991,                 1.3001,                 54.021,                 2.7746,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.1494,                 4.6001,                 2.1631,                0.21603,                0.36286,                0.20746,                0.08721,                 1.0979,                 136.32,                 2.3243,             0.00070458,             0.00070458,             0.00070458
                      6,                 1.0119,                 3.9603,                 1.9879,                0.43894,                0.57935,                0.45634,                0.24607,                0.76728,                 103.11,                  1.863,             0.00070222,             0.00070222,             0.00070222
                      7,                0.95392,                  3.679,                 1.9181,                0.43573,                 0.6872,                0.58987,                0.31694,                0.80156,                  73.02,                 1.8887,             0.00069986,             0.00069986,             0.00069986
                      8,                0.89527,                 3.3378,                 1.8255,                0.58474,                 0.6335,                 0.6297,                0.29431,                 0.8699,                 60.628,                 1.9725,             0.00069751,             0.00069751,             0.00069751
                      9,                0.85718,                 3.1564,                 1.7651,                0.61359,                0.66901,                0.66827,                0.40223,                0.64145,                 43.434,                 1.6458,             0.00069515,             0.00069515,             0.00069515
                     10,                0.83597,                 3.0509,                 1.7333,                0.59051,                0.61278,                0.60208,                0.34964,                0.69156,                 43.749,                 1.7269,             0.00069279,             0.00069279,             0.00069279
                     11,                0.82981,                 2.9561,                 1.7208,                0.64645,                0.68537,                0.69999,                0.41956,                0.66656,                 20.345,                 1.6836,             0.00069044,             0.00069044,             0.00069044
                     12,                0.81713,                 2.8829,                 1.6853,                0.71116,                0.77695,                0.79255,                0.49111,                0.62598,                 39.317,                 1.6094,             0.00068808,             0.00068808,             0.00068808
                     13,                0.80818,                 2.8605,                 1.6887,                0.68482,                0.68431,                0.72138,                 0.4078,                 0.7192,                 12.828,                 1.7483,             0.00068573,             0.00068573,             0.00068573
                     14,                0.78761,                 2.7207,                 1.6512,                0.63363,                0.78253,                0.75886,                0.46782,                0.63306,                 157.38,                 1.6084,             0.00068337,             0.00068337,             0.00068337
                     15,                0.75886,                 2.6269,                 1.6197,                0.68082,                0.75391,                0.76559,                0.46201,                0.66052,                 81.135,                 1.6204,             0.00068101,             0.00068101,             0.00068101
                     16,                0.76896,                 2.6252,                 1.6336,                0.76758,                  0.785,                0.84949,                0.50939,                0.64022,                 10.225,                 1.6122,             0.00067866,             0.00067866,             0.00067866
                     17,                0.74557,                 2.5684,                 1.6021,                0.72617,                0.81063,                   0.83,                0.51353,                0.61027,                 11.223,                 1.5757,              0.0006763,              0.0006763,              0.0006763
                     18,                0.73594,                 2.5207,                 1.5999,                0.70695,                0.77444,                0.79544,                0.49714,                0.61806,                 110.13,                 1.5683,             0.00067394,             0.00067394,             0.00067394
                     19,                0.75845,                 2.4684,                 1.5923,                0.73023,                0.78569,                0.81424,                0.53155,                0.59067,                 132.43,                  1.521,             0.00067159,             0.00067159,             0.00067159
                     20,                0.70755,                 2.3332,                 1.5441,                0.71903,                0.78452,                0.81752,                0.49782,                0.63358,                 111.85,                 1.6131,             0.00066923,             0.00066923,             0.00066923
                     21,                0.71389,                 2.3254,                 1.5523,                0.75763,                0.80871,                0.85014,                0.54625,                0.57557,                  9.729,                 1.5175,             0.00066688,             0.00066688,             0.00066688
                     22,                0.71571,                 2.3393,                 1.5629,                0.73809,                0.80118,                0.86902,                0.56925,                 0.5571,                 11.437,                 1.4844,             0.00066452,             0.00066452,             0.00066452
                     23,                0.71002,                 2.2746,                 1.5429,                0.81875,                0.82635,                0.88615,                0.58294,                0.56623,                 24.469,                 1.4913,             0.00066216,             0.00066216,             0.00066216
                     24,                0.68513,                 2.2172,                 1.5241,                0.75961,                0.86095,                0.88426,                 0.5883,                0.55028,                 34.903,                 1.4674,             0.00065981,             0.00065981,             0.00065981
                     25,                0.69566,                 2.1984,                 1.5218,                0.80693,                0.86292,                0.89052,                0.58017,                0.57896,                 37.261,                 1.4997,             0.00065745,             0.00065745,             0.00065745
                     26,                0.71394,                 2.2921,                 1.5538,                0.82497,                0.82387,                0.88866,                0.59634,                0.53531,                 32.493,                 1.4292,             0.00065509,             0.00065509,             0.00065509
                     27,                0.68563,                  2.126,                 1.5044,                 0.7756,                 0.8385,                0.87988,                0.59864,                0.53926,                 68.072,                 1.4473,             0.00065274,             0.00065274,             0.00065274
                     28,                0.70101,                 2.1611,                 1.5376,                0.79203,                0.83144,                0.88067,                0.57908,                0.56607,                  82.72,                 1.4781,             0.00065038,             0.00065038,             0.00065038
                     29,                0.68466,                  2.184,                 1.5361,                0.78684,                0.84167,                0.87389,                 0.5788,                0.55477,                 34.407,                 1.4637,             0.00064803,             0.00064803,             0.00064803
                     30,                0.66751,                 2.1358,                 1.4916,                0.81237,                0.84936,                0.89233,                0.59358,                0.55041,                  14.16,                 1.4627,             0.00064567,             0.00064567,             0.00064567
                     31,                 0.6719,                 2.0597,                 1.4997,                0.77718,                0.80081,                 0.8568,                0.54817,                 0.5794,                 4.7856,                  1.514,             0.00064331,             0.00064331,             0.00064331
                     32,                 0.6657,                 2.0503,                 1.4852,                0.82018,                0.84719,                0.90592,                0.61423,                0.51508,                 18.513,                 1.4013,             0.00064096,             0.00064096,             0.00064096
                     33,                0.65606,                 2.0116,                 1.4751,                0.80772,                0.88508,                0.90921,                0.61725,                0.54305,                 32.841,                 1.4378,              0.0006386,              0.0006386,              0.0006386
