                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2119,                 4.4965,                 4.2089,                      0,                      0,                      0,                      0,                 3.1767,                 4.3761,                 4.1586,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0554,                 4.4497,                 4.1617,                      0,                      0,                      0,                      0,                 3.1687,                 4.3709,                 4.1491,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.1005,                 4.3717,                 4.0728,                      0,                      0,                      0,                      0,                 3.1474,                 4.3546,                 4.1258,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.7553,                 4.1349,                 3.9043,                      0,                      0,                      0,                      0,                 3.1147,                  4.326,                  4.082,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.2869,                 3.8211,                 3.6867,                      0,                      0,                      0,                      0,                 3.0885,                 4.2922,                 4.0301,             0.00031001,             0.00031001,             0.00031001
                      6,                  2.953,                  3.426,                  3.361,                      0,                      0,                      0,                      0,                 3.1006,                 4.2721,                 3.9831,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.7023,                 3.0656,                 3.0782,                0.00109,                0.19889,                0.00081,                0.00014,                 3.2031,                 4.2725,                 3.9898,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.5175,                 2.7268,                 2.7622,                0.00071,                0.14139,                0.00069,                0.00014,                 3.2797,                 4.2405,                 4.0086,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.2299,                 2.4353,                 2.5286,                0.00053,                0.03008,                0.00029,                  6e-05,                 3.4195,                 4.4394,                 4.1719,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.0211,                 2.2238,                 2.3268,                0.00281,                0.43272,                0.00796,                0.00141,                 3.9141,                  4.056,                 3.8791,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.8885,                 2.0579,                 2.1932,                0.00042,                0.01819,                0.00035,                  7e-05,                 3.6284,                 4.6719,                 4.3478,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.7712,                 1.9171,                 2.0626,                0.00403,                0.19982,                0.01075,                0.00217,                 3.5591,                 4.4127,                 4.1093,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.6814,                 1.8067,                 1.9702,                0.00766,                 0.4273,                0.05132,                0.01162,                  3.575,                 4.1899,                 3.9145,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.5942,                 1.6779,                 1.9168,                0.00863,                0.61409,                0.06261,                0.01625,                 3.1587,                  3.646,                 3.3439,             0.00068337,             0.00068337,             0.00068337
