                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1572,                 9.7556,                 4.1416,                      0,                      0,                      0,                      0,                 1.7325,                 25.506,                 3.6066,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.2133,                 8.0942,                  3.687,                      0,                      0,                      0,                      0,                 1.3971,                 24.406,                 3.4358,             0.00046257,             0.00046257,             0.00046257
                      3,                 1.6913,                 6.6044,                  2.902,                0.00185,                0.32896,                0.00136,                0.00044,                 1.2624,                 98.976,                 3.0283,              0.0006951,              0.0006951,              0.0006951
                      4,                 1.3046,                 5.4412,                 2.3652,                0.00893,                0.79618,                0.04401,                0.01409,                 1.1558,                 25.565,                 2.7852,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.1301,                 4.5607,                 2.1445,                 0.3026,                0.29386,                0.19919,                  0.103,                0.81519,                 62.107,                 2.0302,             0.00070458,             0.00070458,             0.00070458
                      6,                  1.001,                 3.9718,                 1.9804,                0.33907,                0.44715,                0.31475,                0.14819,                 1.0639,                 49.698,                 2.2386,             0.00070222,             0.00070222,             0.00070222
                      7,                0.96818,                 3.6946,                 1.9369,                0.37878,                0.47685,                0.36213,                0.17383,                0.90905,                  109.4,                 2.0464,             0.00069986,             0.00069986,             0.00069986
                      8,                0.90191,                 3.3877,                 1.8449,                0.41967,                0.50266,                0.42386,                0.19845,                0.94836,                 101.73,                 2.1144,             0.00069751,             0.00069751,             0.00069751
                      9,                0.86402,                 3.2019,                 1.7817,                0.61723,                0.69124,                 0.6926,                0.40989,                0.65943,                 167.54,                 1.6716,             0.00069515,             0.00069515,             0.00069515
                     10,                0.84676,                 3.1097,                 1.7468,                0.60772,                0.66207,                0.65983,                0.38952,                0.71639,                 93.947,                 1.7289,             0.00069279,             0.00069279,             0.00069279
                     11,                0.83365,                 2.9962,                 1.7322,                 0.5879,                0.71575,                0.71394,                0.44164,                0.64381,                 101.76,                 1.6457,             0.00069044,             0.00069044,             0.00069044
                     12,                0.82701,                 2.9456,                 1.6986,                0.64807,                0.77873,                0.76825,                0.45708,                0.67934,                 111.94,                 1.6819,             0.00068808,             0.00068808,             0.00068808
                     13,                0.82138,                 2.9157,                  1.709,                0.70673,                0.65639,                 0.7344,                0.44289,                0.67041,                 9.9548,                 1.6998,             0.00068573,             0.00068573,             0.00068573
                     14,                0.79274,                 2.7875,                 1.6592,                0.68125,                0.77008,                0.76693,                   0.47,                0.67586,                 39.733,                 1.6649,             0.00068337,             0.00068337,             0.00068337
                     15,                0.76652,                 2.6638,                 1.6253,                0.68976,                0.77399,                0.78469,                 0.4643,                0.65914,                 64.375,                 1.6491,             0.00068101,             0.00068101,             0.00068101
                     16,                0.77069,                 2.6605,                 1.6386,                0.74112,                0.76101,                 0.8126,                0.47897,                0.64725,                 54.806,                 1.6055,             0.00067866,             0.00067866,             0.00067866
                     17,                0.76094,                 2.6175,                 1.6173,                0.67658,                0.78242,                0.79452,                0.48147,                0.63729,                 55.957,                 1.6403,              0.0006763,              0.0006763,              0.0006763
                     18,                0.74701,                 2.5819,                 1.6127,                0.75016,                0.74136,                0.81242,                 0.5133,                0.61287,                 58.139,                 1.5596,             0.00067394,             0.00067394,             0.00067394
                     19,                0.75665,                 2.4956,                  1.589,                0.71709,                0.80093,                0.84079,                0.55879,                0.56486,                 73.868,                 1.4844,             0.00067159,             0.00067159,             0.00067159
                     20,                0.71743,                 2.3752,                 1.5564,                0.74395,                  0.791,                0.84561,                0.53442,                0.58478,                 25.247,                 1.5457,             0.00066923,             0.00066923,             0.00066923
                     21,                0.71615,                 2.3644,                 1.5534,                0.78219,                0.76748,                0.85774,                0.56996,                 0.5574,                 75.282,                 1.4868,             0.00066688,             0.00066688,             0.00066688
                     22,                0.72142,                  2.379,                 1.5706,                0.70276,                0.81753,                0.83507,                0.56584,                0.54661,                 81.843,                 1.4634,             0.00066452,             0.00066452,             0.00066452
                     23,                0.71373,                 2.3293,                 1.5455,                0.82446,                0.82879,                0.87638,                0.58318,                0.56394,                 27.011,                 1.4799,             0.00066216,             0.00066216,             0.00066216
