                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2232,                 4.4607,                 4.2127,                      0,                      0,                      0,                      0,                 3.1769,                  4.374,                 4.1607,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0648,                  4.412,                 4.1701,                      0,                      0,                      0,                      0,                 3.1618,                 4.3639,                 4.1554,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.1195,                  4.282,                 4.0819,                      0,                      0,                      0,                      0,                  3.119,                 4.3345,                 4.1329,             0.00018441,             0.00018441,             0.00018441
                      4,                  3.826,                 4.0061,                 3.9667,                      0,                      0,                      0,                      0,                 3.0311,                 4.2954,                 4.0944,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.3562,                 3.7383,                 3.8057,                      0,                      0,                      0,                      0,                 2.9576,                 4.2501,                 4.0487,             0.00031001,             0.00031001,             0.00031001
                      6,                 2.9748,                 3.3705,                 3.5084,                      0,                      0,                      0,                      0,                 2.9148,                  4.209,                 4.0202,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.6819,                 3.0349,                 3.1993,                      0,                      0,                      0,                      0,                 2.9475,                 4.2289,                 4.0547,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.4396,                 2.7215,                 2.8724,                0.00134,                0.27843,                0.00166,                0.00033,                 2.8143,                 4.1461,                 3.9707,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.1544,                 2.4179,                 2.5783,                0.00305,                 0.5052,                0.00582,                0.00126,                 2.9784,                 4.0785,                  3.827,             0.00055612,             0.00055612,             0.00055612
                     10,                 1.9951,                 2.1997,                 2.3461,                 0.0024,                0.37894,                0.03077,                0.00591,                 3.2327,                 3.9824,                  3.805,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.8728,                 2.0659,                 2.1931,                 0.0021,                0.33268,                  0.023,                0.00388,                 3.8047,                 3.6506,                 3.6164,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.7907,                 1.9447,                 2.0751,                0.00359,                0.43974,                0.03287,                0.00531,                  3.882,                 3.7043,                 3.4755,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.6658,                 1.8487,                 1.9542,                0.00243,                0.43347,                 0.0271,                0.00421,                 4.1551,                 3.4354,                 3.3417,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.5935,                  1.699,                 1.8806,                0.00452,                0.56685,                0.02857,                0.00504,                 4.0793,                 3.3582,                  3.287,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.5245,                 1.6149,                 1.8026,                0.33017,                0.12655,                0.05703,                0.01156,                 3.6699,                 3.2053,                   3.21,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.5064,                 1.5637,                 1.7698,                0.82608,                0.08506,                0.08427,                0.02037,                 3.0674,                 3.3763,                 3.2196,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.5275,                 1.5307,                 1.7684,                0.26194,                0.20784,                0.16071,                0.06041,                 2.2426,                 2.9842,                 2.6516,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.4592,                 1.4456,                 1.7234,                0.41652,                0.28899,                 0.3146,                 0.1251,                 2.0824,                 2.4872,                 2.4125,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.4316,                 1.4007,                 1.6689,                0.37251,                 0.2025,                0.22033,                0.09837,                 2.2166,                 2.8262,                 2.6765,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.4103,                 1.3548,                 1.6488,                0.40631,                0.37092,                0.34452,                0.17659,                 1.7082,                 2.2936,                 2.2086,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.4003,                 1.3748,                 1.6328,                0.48483,                0.38254,                0.42225,                0.21213,                 1.7406,                 2.3343,                 2.2049,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.3676,                 1.3069,                 1.6106,                0.49556,                0.58498,                0.55076,                0.32784,                 1.4024,                 1.6927,                 1.7889,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.3525,                 1.2983,                  1.579,                0.66078,                   0.66,                0.70754,                 0.4339,                  1.299,                 1.4735,                 1.7072,             0.00066216,             0.00066216,             0.00066216
                     24,                 1.3284,                 1.2772,                  1.573,                0.60856,                0.57998,                0.62266,                0.36455,                  1.453,                 1.7024,                 1.8161,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.3179,                 1.2507,                 1.5577,                0.65828,                0.69585,                0.70075,                0.45069,                 1.2163,                 1.4063,                 1.6198,             0.00065745,             0.00065745,             0.00065745
                     26,                 1.3156,                 1.2267,                 1.5521,                0.67102,                0.73466,                0.74231,                0.47136,                 1.2125,                 1.2742,                 1.6247,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.3041,                 1.1977,                 1.5321,                0.66227,                0.68818,                0.72315,                 0.4779,                 1.1591,                 1.2992,                 1.5494,             0.00065274,             0.00065274,             0.00065274
                     28,                  1.297,                 1.1881,                  1.536,                0.64363,                0.64692,                0.68002,                0.40799,                 1.3276,                 1.4621,                 1.7211,             0.00065038,             0.00065038,             0.00065038
                     29,                 1.2869,                 1.2298,                 1.5304,                0.71118,                0.72196,                 0.7751,                0.50026,                 1.2146,                 1.3269,                 1.6146,             0.00064803,             0.00064803,             0.00064803
                     30,                 1.2605,                 1.1607,                 1.5065,                0.74321,                0.77781,                0.82434,                0.53826,                  1.182,                 1.1669,                 1.6167,             0.00064567,             0.00064567,             0.00064567
                     31,                 1.2895,                 1.1708,                 1.5202,                0.71061,                0.79488,                0.80736,                0.53225,                 1.1441,                 1.0924,                 1.5075,             0.00064331,             0.00064331,             0.00064331
                     32,                 1.2879,                 1.1677,                 1.5073,                0.76113,                0.75198,                0.81724,                0.54437,                 1.1509,                 1.1415,                 1.5446,             0.00064096,             0.00064096,             0.00064096
                     33,                 1.2394,                 1.1202,                 1.4929,                0.73463,                0.75028,                 0.8037,                0.53402,                 1.1492,                 1.2766,                 1.5619,              0.0006386,              0.0006386,              0.0006386
                     34,                 1.2548,                 1.1135,                 1.4849,                 0.7661,                0.79198,                 0.8462,                0.56836,                 1.1059,                0.99201,                 1.4761,             0.00063625,             0.00063625,             0.00063625
                     35,                 1.2383,                 1.0996,                 1.4764,                0.80182,                  0.785,                0.85286,                0.57553,                 1.1157,                 1.0441,                 1.4932,             0.00063389,             0.00063389,             0.00063389
                     36,                 1.2568,                 1.1223,                 1.4826,                 0.7296,                0.77601,                0.80919,                0.54429,                 1.1098,                 1.0998,                 1.5294,             0.00063153,             0.00063153,             0.00063153
                     37,                 1.2317,                 1.0974,                 1.4684,                0.75503,                 0.8045,                0.84098,                0.55312,                 1.1668,                 1.0937,                 1.5219,             0.00062918,             0.00062918,             0.00062918
                     38,                 1.2206,                 1.0592,                 1.4659,                0.77393,                0.80056,                0.85629,                0.57642,                 1.1023,                 1.0183,                 1.4707,             0.00062682,             0.00062682,             0.00062682
                     39,                 1.2072,                 1.0768,                 1.4515,                0.79384,                 0.8156,                0.87685,                0.59433,                 1.0976,                0.95394,                 1.4487,             0.00062446,             0.00062446,             0.00062446
                     40,                 1.2412,                 1.0548,                 1.4713,                0.71836,                0.79216,                0.82326,                 0.5487,                 1.1109,                 1.0671,                 1.4562,             0.00062211,             0.00062211,             0.00062211
                     41,                 1.2115,                 1.0162,                 1.4428,                0.70153,                0.82297,                0.82121,                0.56161,                 1.0578,                 1.1839,                 1.4322,             0.00061975,             0.00061975,             0.00061975
                     42,                 1.2051,                 1.0401,                 1.4519,                0.77135,                0.84414,                0.85913,                0.58459,                 1.0643,                0.92742,                 1.4449,              0.0006174,              0.0006174,              0.0006174
                     43,                 1.1919,                 1.0218,                 1.4451,                 0.7194,                0.81985,                 0.8015,                0.56101,                 1.0523,                 1.0502,                 1.4633,             0.00061504,             0.00061504,             0.00061504
                     44,                 1.1879,                 1.0009,                  1.424,                0.78776,                0.84219,                0.87727,                0.60085,                 1.0759,                0.95224,                 1.4574,             0.00061268,             0.00061268,             0.00061268
                     45,                 1.2039,                  1.019,                 1.4263,                0.72613,                 0.7411,                0.83502,                0.55178,                 1.1523,                 1.0774,                 1.5564,             0.00061033,             0.00061033,             0.00061033
                     46,                 1.1762,                0.99221,                 1.4157,                0.76812,                0.84724,                0.87823,                0.60989,                 1.0586,                0.90176,                 1.3984,             0.00060797,             0.00060797,             0.00060797
                     47,                 1.1995,                0.99912,                 1.4447,                0.77362,                0.84199,                0.86813,                0.59621,                 1.0824,                0.91678,                 1.4632,             0.00060561,             0.00060561,             0.00060561
                     48,                 1.1717,                0.97256,                  1.424,                0.78957,                0.82669,                0.86838,                0.61047,                  1.063,                0.89056,                   1.41,             0.00060326,             0.00060326,             0.00060326
                     49,                 1.1923,                0.99432,                 1.4161,                0.76389,                 0.8379,                 0.8691,                0.57976,                 1.1134,                0.92895,                 1.4996,              0.0006009,              0.0006009,              0.0006009
