                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1224,                 9.7231,                 4.0939,                      0,                      0,                      0,                      0,                   1.72,                 25.523,                 3.5935,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.1534,                 8.0012,                  3.554,                      0,                      0,                      0,                      0,                 1.5828,                 23.895,                 3.5122,             0.00046257,             0.00046257,             0.00046257
                      3,                  1.705,                 6.6045,                 2.8916,                0.00302,                 0.5077,                0.00255,                0.00088,                 1.3321,                 7.7211,                 3.2988,              0.0006951,              0.0006951,              0.0006951
                      4,                 1.3876,                 5.5223,                 2.4405,                0.02688,                 0.6637,                0.03459,                0.01068,                 1.5457,                 45.112,                 2.9469,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.1789,                   4.61,                 2.1965,                0.35014,                0.42969,                0.33478,                0.16954,                0.87184,                 36.488,                 2.0964,             0.00070458,             0.00070458,             0.00070458
                      6,                  1.035,                 3.9452,                 2.0136,                0.39643,                0.52926,                0.38956,                0.19905,                0.85795,                 31.999,                  2.042,             0.00070222,             0.00070222,             0.00070222
                      7,                0.96538,                 3.6639,                 1.9351,                0.44651,                0.57853,                 0.4928,                0.26584,                0.78669,                 38.039,                 1.8528,             0.00069986,             0.00069986,             0.00069986
                      8,                0.92057,                 3.3799,                 1.8542,                0.48543,                0.56756,                0.51394,                0.27282,                0.79518,                 36.614,                 1.8931,             0.00069751,             0.00069751,             0.00069751
                      9,                0.86763,                 3.1601,                 1.7797,                0.58558,                0.68282,                0.67949,                0.40093,                0.68781,                 65.779,                 1.7039,             0.00069515,             0.00069515,             0.00069515
                     10,                0.85385,                  3.091,                 1.7498,                0.65873,                0.69305,                0.70779,                0.42595,                0.66363,                 26.032,                 1.6868,             0.00069279,             0.00069279,             0.00069279
                     11,                0.84596,                 2.9988,                  1.742,                0.59239,                0.66776,                 0.6753,                0.42109,                0.63193,                 27.652,                 1.6205,             0.00069044,             0.00069044,             0.00069044
                     12,                0.82788,                 2.9495,                 1.6989,                0.67519,                0.76689,                0.76277,                0.45815,                0.66596,                 108.22,                 1.6707,             0.00068808,             0.00068808,             0.00068808
                     13,                0.81536,                 2.8757,                 1.7059,                 0.7092,                0.67309,                0.74016,                0.43075,                0.69867,                 9.2074,                 1.7214,             0.00068573,             0.00068573,             0.00068573
                     14,                0.79734,                 2.7536,                 1.6628,                0.63902,                0.68042,                0.69408,                0.34912,                0.82576,                 46.155,                 1.8535,             0.00068337,             0.00068337,             0.00068337
                     15,                 0.7808,                 2.6732,                 1.6468,                0.63368,                0.67386,                0.69762,                0.41287,                0.66707,                 115.46,                 1.6319,             0.00068101,             0.00068101,             0.00068101
                     16,                0.76232,                 2.6703,                 1.6283,                0.79105,                0.81271,                0.85474,                0.54528,                0.59526,                 17.495,                 1.5379,             0.00067866,             0.00067866,             0.00067866
                     17,                0.74869,                 2.5837,                 1.6077,                0.70085,                0.82883,                0.83843,                0.51938,                0.59101,                 70.063,                 1.5502,              0.0006763,              0.0006763,              0.0006763
                     18,                0.75146,                 2.6263,                 1.6185,                0.71023,                0.81813,                0.82029,                0.52453,                0.61516,                 106.89,                  1.572,             0.00067394,             0.00067394,             0.00067394
                     19,                0.75818,                 2.5009,                 1.5955,                0.78257,                0.78481,                0.85115,                0.52846,                0.60875,                  17.13,                 1.5625,             0.00067159,             0.00067159,             0.00067159
