                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1307,                 9.7424,                  4.101,                      0,                      0,                      0,                      0,                 1.7313,                 25.533,                 3.5945,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.1766,                 8.0962,                 3.5618,                      0,                      0,                      0,                      0,                  1.748,                   25.1,                 3.5836,             0.00046257,             0.00046257,             0.00046257
                      3,                 1.6943,                  6.596,                 2.8456,                      0,                      0,                      0,                      0,                 1.3106,                 11.761,                 3.3897,              0.0006951,              0.0006951,              0.0006951
                      4,                 1.3207,                 5.3691,                 2.3497,                0.01097,                0.41408,                0.03491,                0.01441,                  1.217,                 9.9459,                 3.0251,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.1291,                 4.4902,                 2.1211,                0.24004,                 0.1981,                0.12875,                0.04494,                 1.1176,                 41.517,                 2.4711,             0.00070458,             0.00070458,             0.00070458
                      6,                0.99964,                 3.9372,                 1.9638,                0.36574,                0.51047,                0.35901,                0.18761,                   0.83,                 103.51,                 1.9447,             0.00070222,             0.00070222,             0.00070222
                      7,                0.94683,                 3.6446,                 1.9032,                0.42848,                0.55726,                0.49792,                0.26704,                0.78617,                 45.507,                 1.8607,             0.00069986,             0.00069986,             0.00069986
                      8,                0.88883,                 3.3829,                 1.8153,                0.52796,                0.65188,                0.59733,                0.30272,                0.83851,                  142.7,                 1.9184,             0.00069751,             0.00069751,             0.00069751
                      9,                0.85089,                 3.1639,                 1.7565,                0.56287,                0.62025,                0.59739,                0.34686,                0.71328,                 84.102,                 1.7406,             0.00069515,             0.00069515,             0.00069515
                     10,                 0.8352,                 3.0905,                  1.729,                0.71469,                0.69845,                0.75591,                0.45473,                0.65973,                 19.589,                 1.6668,             0.00069279,             0.00069279,             0.00069279
                     11,                0.82917,                 2.9706,                  1.717,                0.62795,                0.67354,                0.69823,                0.42642,                0.65946,                 24.796,                 1.6647,             0.00069044,             0.00069044,             0.00069044
                     12,                0.80549,                  2.924,                  1.672,                0.67539,                0.73918,                0.73749,                0.44853,                0.64591,                 142.18,                 1.6323,             0.00068808,             0.00068808,             0.00068808
                     13,                0.80805,                 2.8753,                 1.6953,                0.69461,                0.76489,                0.79378,                0.47839,                0.64987,                 25.906,                 1.6404,             0.00068573,             0.00068573,             0.00068573
