                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2569,                 9.7725,                 4.1476,                      0,                      0,                      0,                      0,                  2.678,                 25.509,                 3.6071,             0.00022848,             0.00022848,             0.00022848
                      2,                 3.2741,                 8.1104,                 3.7062,                      0,                      0,                      0,                      0,                 2.3041,                 25.018,                  3.469,             0.00046257,             0.00046257,             0.00046257
                      3,                 2.6332,                  6.656,                  2.928,                0.00333,                0.39868,                0.00269,                0.00102,                 2.0684,                 7.6585,                 3.2571,              0.0006951,              0.0006951,              0.0006951
                      4,                 2.1127,                 5.5399,                 2.3783,                0.00997,                 0.8962,                0.08277,                0.03251,                 1.7635,                 75.442,                 2.4204,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.8606,                 4.7238,                 2.1521,                0.17176,                0.24002,                0.14853,                0.07264,                 1.4387,                 81.177,                  2.123,             0.00070458,             0.00070458,             0.00070458
                      6,                 1.6801,                 4.1233,                  1.983,                0.49765,                0.42318,                0.42582,                0.23388,                 1.4188,                 13.324,                 1.9875,             0.00070222,             0.00070222,             0.00070222
                      7,                 1.6255,                 3.8302,                 1.9285,                0.43744,                0.54588,                0.45489,                0.25635,                 1.3501,                 79.334,                 1.8747,             0.00069986,             0.00069986,             0.00069986
                      8,                 1.5271,                 3.4615,                 1.8271,                0.55139,                 0.6608,                0.63553,                0.36121,                 1.2712,                 85.462,                 1.7633,             0.00069751,             0.00069751,             0.00069751
                      9,                 1.4703,                 3.2147,                 1.7686,                0.51669,                0.70044,                0.58693,                0.32028,                 1.3146,                 201.07,                 1.8092,             0.00069515,             0.00069515,             0.00069515
                     10,                 1.4637,                 3.1541,                  1.745,                0.63294,                0.69483,                0.70509,                0.42848,                 1.1936,                 111.57,                 1.6795,             0.00069279,             0.00069279,             0.00069279
                     11,                 1.4443,                 3.0187,                 1.7324,                0.56925,                0.67408,                0.65989,                0.38264,                 1.2178,                 60.453,                 1.7422,             0.00069044,             0.00069044,             0.00069044
                     12,                 1.4116,                 2.9447,                 1.6851,                0.62108,                0.68972,                0.69319,                0.41349,                 1.2407,                 115.07,                 1.7156,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.4263,                 2.9099,                 1.7128,                0.63211,                0.58706,                0.65084,                0.36602,                 1.3296,                  8.648,                 1.7937,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.3719,                 2.7664,                 1.6472,                0.65664,                 0.7704,                0.75688,                0.47471,                 1.0948,                 148.18,                 1.5812,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.3359,                 2.6588,                 1.6211,                0.68981,                0.65074,                0.70247,                 0.4415,                 1.1277,                 70.418,                 1.6011,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.3545,                 2.7196,                 1.6419,                0.77314,                0.79603,                0.84056,                0.54255,                 1.0424,                 34.709,                  1.523,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.3173,                 2.6315,                 1.6108,                0.72773,                0.80961,                0.82537,                0.52766,                 1.0563,                 23.808,                  1.544,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.3026,                 2.6012,                 1.6058,                0.71627,                0.80917,                0.83374,                0.52725,                 1.1096,                 88.301,                 1.6016,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.3301,                 2.5199,                 1.5968,                0.77275,                0.75775,                0.84352,                0.52999,                 1.0951,                 26.316,                 1.5569,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.2469,                  2.381,                 1.5408,                0.72531,                0.78967,                0.78833,                 0.4795,                 1.1502,                 66.686,                 1.6527,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.2684,                 2.3742,                 1.5563,                0.79778,                0.83087,                  0.891,                0.58316,                 1.0327,                 38.139,                 1.5103,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.2632,                 2.3781,                 1.5678,                0.71985,                0.83586,                0.85729,                0.57357,                0.98564,                  75.39,                 1.4677,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.2508,                 2.3292,                 1.5446,                0.81992,                0.82304,                0.88829,                0.58282,                 1.0087,                 24.563,                  1.484,             0.00066216,             0.00066216,             0.00066216
                     24,                  1.238,                  2.277,                 1.5392,                0.76765,                0.80162,                0.86268,                 0.5628,                 1.0629,                 99.902,                 1.5321,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.2212,                 2.2362,                 1.5163,                0.79107,                0.85387,                0.89018,                0.58904,                 1.0101,                 41.592,                 1.4774,             0.00065745,             0.00065745,             0.00065745
                     26,                 1.2572,                 2.3213,                  1.557,                0.80549,                0.83124,                 0.8965,                0.58637,                 1.0174,                 23.597,                  1.482,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.2224,                 2.1945,                 1.5146,                0.80309,                0.80684,                0.89224,                0.59851,                0.99524,                 87.066,                 1.4614,             0.00065274,             0.00065274,             0.00065274
                     28,                  1.228,                  2.197,                 1.5372,                 0.8161,                0.85162,                0.90227,                0.59998,                0.99494,                 19.048,                 1.4642,             0.00065038,             0.00065038,             0.00065038
                     29,                 1.2124,                 2.2194,                 1.5404,                0.79719,                0.84808,                0.88533,                0.58001,                 1.0373,                 50.459,                 1.5011,             0.00064803,             0.00064803,             0.00064803
                     30,                 1.1864,                 2.1735,                 1.4959,                0.84343,                0.81207,                0.89509,                0.59229,                0.99504,                 8.2585,                 1.4518,             0.00064567,             0.00064567,             0.00064567
                     31,                 1.1956,                 2.1114,                 1.5038,                0.82682,                0.83003,                0.89016,                0.58858,                0.98239,                 9.1061,                 1.4606,             0.00064331,             0.00064331,             0.00064331
                     32,                 1.1925,                 2.0962,                 1.4909,                0.80869,                0.84605,                0.89889,                0.59764,                0.98285,                 13.348,                 1.4647,             0.00064096,             0.00064096,             0.00064096
                     33,                 1.1771,                 2.0279,                  1.485,                0.79575,                0.88111,                0.89597,                0.62597,                0.94217,                 77.892,                 1.4121,              0.0006386,              0.0006386,              0.0006386
                     34,                 1.1802,                 2.0125,                 1.4868,                0.81371,                0.86668,                0.90556,                0.62034,                0.95385,                  38.68,                  1.416,             0.00063625,             0.00063625,             0.00063625
                     35,                 1.1778,                 2.0576,                 1.4929,                0.83362,                0.88545,                0.91856,                0.64197,                0.93034,                 24.498,                 1.3973,             0.00063389,             0.00063389,             0.00063389
                     36,                  1.157,                 1.9715,                 1.4623,                0.86642,                0.85526,                 0.9252,                0.63363,                0.94626,                 8.1089,                 1.4193,             0.00063153,             0.00063153,             0.00063153
                     37,                 1.1744,                 2.0284,                 1.4719,                0.78149,                0.85256,                0.86086,                0.57193,                 1.0192,                  42.78,                  1.504,             0.00062918,             0.00062918,             0.00062918
                     38,                 1.1946,                 2.0082,                 1.5145,                0.84308,                0.85268,                0.91262,                0.58766,                 1.0326,                 36.055,                 1.4834,             0.00062682,             0.00062682,             0.00062682
                     39,                 1.1562,                 1.9347,                 1.4643,                0.83871,                 0.8952,                0.92957,                0.65208,                0.91832,                 14.475,                 1.4029,             0.00062446,             0.00062446,             0.00062446
                     40,                 1.1653,                 1.9484,                 1.4721,                0.79037,                0.89376,                0.90366,                0.61596,                0.97009,                 62.224,                  1.431,             0.00062211,             0.00062211,             0.00062211
                     41,                 1.1544,                 1.8855,                 1.4602,                 0.8238,                0.79606,                0.88403,                0.56783,                 1.0508,                 19.991,                 1.4845,             0.00061975,             0.00061975,             0.00061975
                     42,                 1.1465,                 1.9006,                 1.4622,                 0.8387,                0.89121,                0.91692,                0.62972,                0.92735,                 14.574,                 1.4057,              0.0006174,              0.0006174,              0.0006174
                     43,                 1.1284,                 1.9069,                 1.4499,                0.82284,                0.88349,                0.91406,                0.62618,                0.96905,                 99.639,                 1.4173,             0.00061504,             0.00061504,             0.00061504
                     44,                 1.1401,                 1.8811,                  1.448,                0.83364,                0.88419,                0.92714,                0.62442,                0.98052,                  13.15,                 1.4314,             0.00061268,             0.00061268,             0.00061268
                     45,                 1.1435,                 1.8874,                 1.4458,                0.88062,                0.86866,                0.92694,                0.64905,                 0.9207,                  7.942,                 1.3956,             0.00061033,             0.00061033,             0.00061033
                     46,                 1.1266,                 1.8198,                 1.4404,                0.85457,                0.88612,                0.92931,                0.65892,                0.90842,                 15.269,                 1.3702,             0.00060797,             0.00060797,             0.00060797
                     47,                 1.1324,                 1.8649,                 1.4548,                0.85543,                 0.8761,                0.92841,                0.65639,                0.91085,                  5.062,                 1.3745,             0.00060561,             0.00060561,             0.00060561
                     48,                 1.1354,                 1.8549,                 1.4565,                0.86051,                0.88728,                 0.9311,                0.65743,                0.93221,                 20.405,                 1.3926,             0.00060326,             0.00060326,             0.00060326
                     49,                 1.1309,                 1.8489,                 1.4398,                0.86989,                0.87665,                0.93441,                0.65523,                 0.9101,                 12.284,                 1.3782,              0.0006009,              0.0006009,              0.0006009
                     50,                 1.1268,                 1.8292,                 1.4482,                0.84572,                0.87981,                0.93239,                0.65673,                0.89804,                 11.103,                 1.3608,             0.00059855,             0.00059855,             0.00059855
                     51,                 1.1067,                 1.8744,                 1.4337,                0.84769,                0.88266,                0.92087,                0.64994,                 0.9282,                 51.535,                 1.3827,             0.00059619,             0.00059619,             0.00059619
                     52,                 1.1124,                  1.828,                 1.4298,                0.82725,                0.90239,                0.93086,                0.65521,                0.91142,                 6.4366,                 1.3681,             0.00059383,             0.00059383,             0.00059383
                     53,                 1.1018,                 1.7996,                 1.4153,                0.83407,                0.91386,                 0.9322,                0.65976,                0.89913,                 22.152,                 1.3813,             0.00059148,             0.00059148,             0.00059148
                     54,                 1.1142,                  1.809,                 1.4308,                0.85313,                 0.8801,                0.92632,                0.66185,                0.88431,                 13.881,                 1.3516,             0.00058912,             0.00058912,             0.00058912
                     55,                 1.1162,                 1.8151,                 1.4215,                 0.8679,                0.91075,                0.93824,                0.67222,                0.89153,                 12.245,                 1.3583,             0.00058677,             0.00058677,             0.00058677
                     56,                 1.0819,                 1.7615,                 1.4213,                0.84825,                0.89715,                0.92883,                0.65345,                0.91762,                 31.575,                 1.3834,             0.00058441,             0.00058441,             0.00058441
                     57,                 1.0883,                 1.7311,                 1.4145,                0.86714,                0.88445,                0.92877,                0.66357,                0.88965,                 9.2945,                 1.3609,             0.00058205,             0.00058205,             0.00058205
                     58,                 1.0827,                 1.7969,                 1.4354,                 0.8709,                0.89823,                0.94012,                0.67767,                0.87333,                 6.6665,                  1.342,              0.0005797,              0.0005797,              0.0005797
                     59,                 1.0732,                 1.7472,                 1.4024,                0.84995,                0.90012,                 0.9249,                0.65669,                0.92062,                 25.975,                 1.3812,             0.00057734,             0.00057734,             0.00057734
