                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2305,                 4.4406,                 4.2268,                      0,                      0,                      0,                      0,                  3.176,                 4.3754,                 4.1584,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0674,                 4.4103,                 4.1752,                      0,                      0,                      0,                      0,                 3.1608,                 4.3675,                 4.1509,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.1146,                 4.2787,                 4.0744,                      0,                      0,                      0,                      0,                 3.1244,                 4.3469,                 4.1285,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.8047,                 3.9311,                  3.909,                      0,                      0,                      0,                      0,                 3.0498,                  4.304,                 4.0836,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.3735,                 3.6395,                 3.7301,                      0,                      0,                      0,                      0,                 2.9564,                 4.2426,                 4.0168,             0.00031001,             0.00031001,             0.00031001
                      6,                 2.9729,                  3.272,                 3.4157,                      0,                      0,                      0,                      0,                 2.8167,                 4.1414,                  3.898,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.6457,                 2.9937,                 3.1408,                0.00077,                 0.1747,                0.00055,                 0.0001,                 2.7017,                 4.0342,                 3.7835,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.4249,                 2.7463,                 2.8387,                 0.0013,                0.26448,                0.00134,                 0.0006,                 2.3313,                   3.56,                 3.3869,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.1733,                 2.4657,                 2.5749,                0.00198,                0.39309,                0.00697,                0.00167,                 2.4118,                 3.8542,                 3.3426,             0.00055612,             0.00055612,             0.00055612
                     10,                 1.9887,                 2.2452,                 2.3807,                0.00178,                0.31875,                0.00748,                0.00132,                 2.4126,                 4.0503,                 3.6225,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.8997,                  2.136,                 2.2658,                0.00112,                0.29902,                0.00267,                0.00049,                 3.2138,                 4.1647,                 3.6683,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.8333,                 2.0247,                 2.1525,                0.00057,                0.13101,                0.00037,                 0.0001,                  2.498,                 3.9406,                  3.678,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.7088,                 1.9183,                 2.0399,                0.00044,                0.05762,                0.00061,                0.00015,                 2.9288,                 4.3696,                  4.095,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.6536,                  1.824,                 2.0027,                0.00268,                0.28289,                0.00552,                0.00137,                 2.4142,                 4.0531,                 3.7932,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.5819,                 1.7393,                 1.9237,                 0.4509,                0.03476,                0.04668,                0.01624,                 2.1818,                 3.7166,                 3.4597,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.5461,                 1.7132,                 1.8828,                 0.3355,                0.05442,                0.07616,                0.02713,                 2.1183,                 3.4612,                 3.2064,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.5416,                 1.6439,                 1.8552,                0.34712,                0.06015,                0.09145,                0.03476,                  2.063,                 3.4068,                 3.1781,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.4935,                 1.6048,                 1.8272,                 0.2763,                0.10304,                0.11056,                0.04332,                 1.9681,                 3.1313,                 2.9133,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.4663,                 1.5283,                 1.7588,                0.35379,                 0.2143,                0.23894,                0.10527,                 1.8562,                 2.6316,                 2.4916,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.4543,                 1.5087,                 1.7454,                0.44757,                0.39175,                0.39711,                0.21555,                  1.477,                 2.1673,                 2.1303,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.4287,                 1.5111,                   1.72,                0.58917,                0.48406,                 0.5535,                 0.3179,                 1.3762,                 2.0551,                  2.071,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.3838,                 1.4412,                 1.6926,                0.42108,                0.41093,                0.36826,                0.19779,                 1.4143,                 2.1852,                 2.0509,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.3693,                 1.4239,                 1.6571,                0.51089,                0.49246,                0.48885,                0.26954,                 1.4654,                 1.9506,                 2.0839,             0.00066216,             0.00066216,             0.00066216
                     24,                 1.3729,                 1.4278,                 1.6737,                0.62466,                0.64732,                 0.6563,                0.39073,                 1.3588,                 1.5298,                 1.9518,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.3673,                 1.4048,                 1.6615,                0.64819,                 0.7265,                0.71785,                0.45666,                  1.229,                 1.3369,                 1.8114,             0.00065745,             0.00065745,             0.00065745
                     26,                 1.3848,                 1.3745,                 1.6691,                 0.5646,                0.65611,                0.63121,                0.37709,                 1.3554,                 1.5078,                 1.9228,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.3499,                 1.3481,                 1.6279,                0.63895,                0.64715,                0.67483,                0.42834,                  1.265,                 1.5053,                  1.854,             0.00065274,             0.00065274,             0.00065274
                     28,                 1.3371,                 1.3052,                 1.6324,                 0.7276,                0.60891,                 0.6746,                0.40554,                 1.4259,                 1.7907,                 1.9924,             0.00065038,             0.00065038,             0.00065038
                     29,                 1.3503,                 1.3689,                 1.6468,                0.67362,                0.66358,                 0.6921,                0.41295,                 1.3997,                 1.4767,                 1.9314,             0.00064803,             0.00064803,             0.00064803
                     30,                 1.3045,                 1.2866,                 1.6087,                0.70562,                0.74464,                0.78188,                0.50442,                 1.2133,                 1.3101,                 1.7756,             0.00064567,             0.00064567,             0.00064567
                     31,                  1.329,                 1.2838,                 1.6101,                0.64266,                0.67743,                0.70032,                0.44372,                 1.2127,                  1.483,                 1.7888,             0.00064331,             0.00064331,             0.00064331
                     32,                  1.327,                 1.2989,                 1.6069,                0.70991,                0.75073,                0.76946,                0.50787,                 1.1682,                 1.3627,                   1.74,             0.00064096,             0.00064096,             0.00064096
                     33,                 1.2881,                 1.2598,                 1.5995,                0.65661,                0.24866,                0.43649,                0.26285,                 1.5891,                 2.7082,                 2.2723,              0.0006386,              0.0006386,              0.0006386
                     34,                 1.2728,                 1.2363,                  1.566,                0.68194,                0.77838,                0.75712,                0.49499,                 1.1518,                 1.1711,                 1.7069,             0.00063625,             0.00063625,             0.00063625
