                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2191,                 4.4628,                 4.2058,                      0,                      0,                      0,                      0,                 3.1681,                 4.3754,                 4.1578,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                  4.055,                 4.4092,                 4.1664,                      0,                      0,                      0,                      0,                 3.1463,                 4.3656,                 4.1471,             0.00012098,             0.00012098,             0.00012098
                      3,                  4.103,                 4.2981,                 4.0763,                      0,                      0,                      0,                      0,                 3.0822,                 4.3338,                 4.1167,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.8138,                  4.082,                 3.9552,                      0,                      0,                      0,                      0,                 2.9734,                 4.2803,                 4.0633,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.4166,                 3.8798,                 3.8857,                      0,                      0,                      0,                      0,                 2.8379,                 4.1949,                  3.994,             0.00031001,             0.00031001,             0.00031001
                      6,                 3.0234,                  3.636,                 3.7054,                      0,                      0,                      0,                      0,                  2.718,                 4.0967,                 3.9128,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.8032,                 3.3667,                  3.486,                      0,                      0,                      0,                      0,                 2.6567,                 4.0546,                 3.8502,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.6447,                 3.0817,                  3.133,                0.00078,                 0.0915,                0.00052,                 0.0001,                 2.6339,                 4.0334,                 3.8034,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.4268,                 2.7851,                 2.8258,                0.00176,                0.25192,                0.00145,                0.00035,                 2.6002,                 3.9871,                 3.7475,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.2691,                 2.6355,                 2.5901,                0.00218,                0.22479,                0.00162,                0.00043,                 2.4775,                 3.9403,                 3.7096,             0.00061659,             0.00061659,             0.00061659
                     11,                 2.1639,                  2.527,                 2.4305,                0.00393,                0.51303,                 0.0114,                0.00201,                 2.7209,                 4.0468,                 3.6335,             0.00067663,             0.00067663,             0.00067663
                     12,                 2.0663,                 2.3777,                 2.2904,                0.26914,                0.07544,                0.02493,                0.00426,                 2.7098,                  3.982,                 3.4328,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.9456,                 2.2877,                 2.1789,                0.06832,                0.09757,                0.06691,                0.02009,                 2.4463,                 3.4431,                 3.1005,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.8631,                 2.1638,                 2.0848,                0.18234,                0.08803,                0.07161,                0.02365,                 2.2816,                 3.3376,                 3.0256,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.7707,                 2.0261,                 2.0028,                 0.3106,                0.06078,                 0.0624,                0.02303,                 2.0948,                 3.3552,                 2.9123,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.6956,                 1.9627,                 1.9224,                0.01125,                0.60642,                0.07658,                0.02827,                 2.2141,                 3.6249,                 3.2442,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.6714,                 1.8741,                 1.8786,                0.01397,                0.75705,                 0.1248,                0.04999,                 2.0477,                 3.4243,                 2.9155,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.5993,                 1.7883,                 1.8254,                0.36751,                0.06584,                0.12472,                0.05484,                 1.8785,                 3.2493,                 2.7751,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.5819,                 1.7214,                  1.767,                0.41776,                0.15467,                0.20981,                0.10338,                 1.6862,                 2.8906,                 2.4725,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.5306,                 1.6382,                 1.7177,                0.43349,                0.43474,                0.39533,                0.21913,                 1.5765,                 2.1462,                 1.9845,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.5224,                 1.6515,                 1.7049,                0.43684,                 0.5067,                0.43421,                0.23533,                 1.5291,                  2.041,                 1.9204,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.4829,                 1.5716,                 1.6822,                 0.4919,                0.52259,                0.51423,                0.29985,                 1.4674,                  1.879,                 1.8291,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.4484,                 1.5207,                 1.6302,                0.50895,                0.33567,                0.36301,                 0.1801,                  1.611,                 2.4939,                 2.2236,             0.00066216,             0.00066216,             0.00066216
                     24,                 1.4335,                 1.5247,                 1.6249,                0.63684,                 0.2839,                0.46968,                0.25503,                 1.5089,                 2.6213,                 2.1445,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.4242,                 1.4769,                 1.6063,                0.47638,                0.52469,                0.48036,                0.27131,                 1.4199,                  1.927,                 1.7435,             0.00065745,             0.00065745,             0.00065745
                     26,                   1.44,                 1.4773,                 1.6155,                0.52119,                0.60073,                0.59153,                0.36658,                 1.2783,                 1.6294,                 1.5628,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.3999,                 1.4063,                  1.571,                0.56665,                 0.6079,                0.58461,                0.33388,                 1.4503,                 1.7283,                 1.6948,             0.00065274,             0.00065274,             0.00065274
                     28,                 1.3962,                 1.4097,                 1.5836,                0.57881,                0.66421,                0.63645,                0.39232,                 1.2926,                 1.5895,                 1.5875,             0.00065038,             0.00065038,             0.00065038
                     29,                 1.3539,                 1.4173,                 1.5518,                0.64852,                0.70069,                0.71674,                0.44068,                 1.2704,                 1.4395,                 1.5422,             0.00064803,             0.00064803,             0.00064803
                     30,                 1.3412,                 1.3418,                 1.5393,                0.51571,                0.56033,                0.52414,                0.28751,                 1.5011,                 1.7561,                 1.7114,             0.00064567,             0.00064567,             0.00064567
                     31,                 1.3512,                 1.3329,                 1.5388,                0.67891,                0.74026,                0.76016,                0.48873,                 1.1798,                 1.2827,                 1.3872,             0.00064331,             0.00064331,             0.00064331
                     32,                  1.348,                 1.3426,                 1.5175,                0.67297,                0.66973,                0.69353,                0.43813,                 1.2767,                 1.4735,                 1.5062,             0.00064096,             0.00064096,             0.00064096
                     33,                 1.3212,                 1.3046,                  1.514,                0.65357,                0.68553,                  0.714,                0.45578,                 1.2204,                 1.3863,                 1.4657,              0.0006386,              0.0006386,              0.0006386
                     34,                  1.312,                 1.2686,                 1.4883,                0.67409,                0.65688,                0.71911,                0.44208,                 1.3035,                 1.4114,                 1.5089,             0.00063625,             0.00063625,             0.00063625
                     35,                 1.2785,                  1.252,                 1.4675,                0.74723,                0.69522,                0.77557,                0.50995,                  1.145,                 1.2069,                 1.3612,             0.00063389,             0.00063389,             0.00063389
                     36,                  1.311,                  1.285,                 1.4797,                0.71301,                0.72649,                0.79094,                0.51292,                 1.1558,                 1.2125,                 1.3763,             0.00063153,             0.00063153,             0.00063153
                     37,                  1.288,                 1.2495,                 1.4679,                0.70763,                0.82009,                 0.8294,                0.55629,                  1.131,                 1.0927,                 1.2936,             0.00062918,             0.00062918,             0.00062918
                     38,                 1.2769,                 1.2361,                 1.4677,                0.69663,                0.63791,                 0.6823,                0.44142,                 1.2457,                 1.6297,                 1.5388,             0.00062682,             0.00062682,             0.00062682
                     39,                 1.2624,                  1.243,                 1.4546,                0.69794,                 0.7237,                0.76873,                0.50146,                 1.1571,                 1.2148,                 1.3419,             0.00062446,             0.00062446,             0.00062446
                     40,                 1.3146,                 1.2314,                 1.4925,                0.67832,                0.77155,                0.76984,                0.50632,                  1.146,                  1.189,                 1.3393,             0.00062211,             0.00062211,             0.00062211
                     41,                  1.291,                  1.178,                 1.4591,                0.70241,                0.74627,                0.79906,                0.52497,                 1.1344,                 1.1845,                 1.3416,             0.00061975,             0.00061975,             0.00061975
                     42,                 1.2727,                 1.1891,                 1.4575,                0.72101,                0.70487,                0.76473,                0.49664,                 1.1842,                 1.3179,                 1.4122,              0.0006174,              0.0006174,              0.0006174
                     43,                 1.2479,                 1.1742,                 1.4356,                0.68526,                0.76694,                0.78637,                0.52845,                 1.0986,                 1.0713,                 1.2931,             0.00061504,             0.00061504,             0.00061504
                     44,                 1.2488,                 1.1488,                 1.4191,                0.72488,                0.77433,                0.82139,                0.55168,                 1.1046,                 1.0586,                 1.2768,             0.00061268,             0.00061268,             0.00061268
                     45,                 1.2668,                 1.1729,                 1.4283,                0.78921,                0.79516,                0.84767,                0.56384,                 1.1176,                 1.0404,                  1.307,             0.00061033,             0.00061033,             0.00061033
                     46,                 1.2339,                 1.1504,                 1.4159,                0.76344,                0.76574,                 0.8281,                0.54847,                 1.1126,                 1.0421,                 1.3332,             0.00060797,             0.00060797,             0.00060797
                     47,                 1.2585,                  1.154,                 1.4403,                0.71105,                0.76033,                0.81242,                0.54629,                 1.1072,                 1.1624,                 1.2833,             0.00060561,             0.00060561,             0.00060561
                     48,                 1.2358,                 1.1222,                 1.4275,                0.72992,                0.74956,                0.80455,                0.53715,                 1.0913,                 1.1417,                 1.3119,             0.00060326,             0.00060326,             0.00060326
                     49,                 1.2325,                  1.131,                 1.4101,                0.76664,                0.78796,                0.84636,                0.56357,                 1.1064,                 1.0106,                 1.2946,              0.0006009,              0.0006009,              0.0006009
                     50,                 1.2338,                 1.1453,                 1.4034,                0.75074,                0.81967,                0.85222,                0.58003,                 1.0678,                0.95035,                 1.2477,             0.00059855,             0.00059855,             0.00059855
                     51,                 1.2173,                 1.1299,                 1.4051,                 0.7475,                0.78471,                0.82115,                0.52434,                 1.1997,                 1.1078,                  1.317,             0.00059619,             0.00059619,             0.00059619
                     52,                 1.2113,                 1.1326,                 1.4022,                0.76501,                0.79608,                0.84556,                0.56824,                 1.0791,                0.96968,                 1.2599,             0.00059383,             0.00059383,             0.00059383
                     53,                 1.2235,                 1.0978,                 1.3885,                0.76688,                 0.8314,                0.86497,                0.57871,                 1.1061,                0.93186,                 1.2479,             0.00059148,             0.00059148,             0.00059148
                     54,                 1.2136,                 1.0936,                  1.391,                0.72727,                0.80167,                0.84384,                0.57896,                 1.0566,                0.98939,                 1.2468,             0.00058912,             0.00058912,             0.00058912
                     55,                 1.1988,                 1.0668,                 1.3817,                0.75045,                0.79654,                0.84708,                0.58519,                 1.0763,                 0.9338,                 1.2544,             0.00058677,             0.00058677,             0.00058677
                     56,                 1.1955,                 1.0663,                 1.3946,                0.78335,                0.79804,                0.87204,                0.59461,                 1.0803,                0.94067,                 1.2502,             0.00058441,             0.00058441,             0.00058441
                     57,                 1.1876,                 1.0792,                 1.3725,                0.75092,                0.75373,                0.83974,                0.54871,                 1.1638,                 1.0048,                 1.2557,             0.00058205,             0.00058205,             0.00058205
                     58,                 1.1984,                 1.0827,                 1.3907,                0.76968,                 0.8314,                0.87286,                0.60461,                  1.057,                0.89037,                 1.2434,              0.0005797,              0.0005797,              0.0005797
                     59,                 1.1798,                 1.0433,                 1.3642,                0.78976,                0.76711,                0.85223,                0.57241,                 1.0758,                0.96793,                 1.2635,             0.00057734,             0.00057734,             0.00057734
                     60,                 1.1738,                 1.0789,                 1.3682,                0.74534,                0.82501,                0.85469,                0.58154,                 1.0886,                 1.0205,                 1.2597,             0.00057498,             0.00057498,             0.00057498
                     61,                 1.1882,                  1.058,                 1.3806,                0.67723,                0.70068,                0.73941,                 0.4268,                 1.2882,                 1.2229,                 1.4202,             0.00057263,             0.00057263,             0.00057263
                     62,                  1.179,                 1.0359,                  1.355,                0.73674,                0.83535,                0.87149,                0.59377,                 1.0534,                0.91536,                  1.236,             0.00057027,             0.00057027,             0.00057027
                     63,                 1.2022,                 1.0548,                 1.3757,                0.77711,                0.80006,                0.85419,                0.58007,                 1.0582,                0.98505,                 1.2493,             0.00056792,             0.00056792,             0.00056792
