                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2728,                 4.4658,                 4.2026,                      0,                      0,                      0,                      0,                 3.1712,                 4.3782,                 4.1535,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0956,                 4.4378,                 4.1524,                      0,                      0,                      0,                      0,                 3.1584,                 4.3768,                 4.1457,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.1053,                 4.3614,                 4.0337,                      0,                      0,                      0,                      0,                 3.1446,                 4.3719,                 4.1315,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.8534,                 4.2119,                 3.8966,                      0,                      0,                      0,                      0,                 3.1212,                 4.3668,                 4.1129,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.5837,                 4.0945,                 3.7693,                      0,                      0,                      0,                      0,                  3.106,                 4.3564,                 4.0983,             0.00031001,             0.00031001,             0.00031001
                      6,                 3.3594,                 3.9645,                 3.6227,                      0,                      0,                      0,                      0,                 3.0602,                 4.3482,                  4.073,             0.00037218,             0.00037218,             0.00037218
                      7,                 3.1298,                 3.8613,                  3.558,                      0,                      0,                      0,                      0,                 2.9941,                 4.3357,                 4.0279,             0.00043391,             0.00043391,             0.00043391
                      8,                 3.0851,                 3.7408,                 3.3655,                      0,                      0,                      0,                      0,                 2.8872,                 4.3367,                 3.9771,             0.00049523,             0.00049523,             0.00049523
                      9,                  2.987,                  3.622,                 3.1744,                0.00185,                0.38765,                0.00168,                0.00057,                 2.8547,                  3.819,                 3.2313,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.9302,                 3.5545,                 2.9789,                0.00174,                0.37795,                0.00156,                0.00055,                 2.7713,                 3.9434,                  3.124,             0.00061659,             0.00061659,             0.00061659
                     11,                 2.8539,                  3.545,                 2.8898,                0.00075,                0.11768,                0.00049,                0.00013,                 2.4067,                 4.0453,                 3.4392,             0.00067663,             0.00067663,             0.00067663
                     12,                 2.8423,                 3.4954,                 2.7541,                0.00412,                0.45154,                0.00367,                0.00141,                 2.3336,                 3.7758,                 2.8789,             0.00068808,             0.00068808,             0.00068808
                     13,                  2.783,                 3.5081,                 2.6842,                0.00211,                0.45122,                0.00207,                0.00083,                 2.3831,                  3.845,                  2.444,             0.00068573,             0.00068573,             0.00068573
                     14,                   2.75,                 3.4925,                 2.6358,                0.00212,                0.45957,                0.00205,                0.00082,                 2.4257,                 3.7609,                 2.3872,             0.00068337,             0.00068337,             0.00068337
                     15,                 2.7465,                 3.4952,                 2.6046,                 0.0022,                 0.4567,                0.00243,                0.00086,                 2.2856,                  3.888,                 2.4764,             0.00068101,             0.00068101,             0.00068101
                     16,                 2.6795,                 3.5161,                 2.5745,                0.00272,                0.44228,                0.00226,                0.00083,                 2.1962,                 3.8412,                 2.6382,             0.00067866,             0.00067866,             0.00067866
                     17,                 2.6229,                 3.4844,                 2.5487,                0.00164,                0.34471,                0.00147,                0.00049,                   2.21,                 3.7088,                 2.6445,              0.0006763,              0.0006763,              0.0006763
                     18,                 2.6218,                 3.4556,                 2.5422,                0.00235,                0.39622,                0.00202,                0.00072,                 2.2813,                 3.8243,                 2.5661,             0.00067394,             0.00067394,             0.00067394
                     19,                 2.6227,                 3.4355,                 2.4854,                  4e-05,                0.00682,                  2e-05,                  1e-05,                  2.313,                 3.7386,                 2.8812,             0.00067159,             0.00067159,             0.00067159
