                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2473,                 4.4642,                 4.2149,                      0,                      0,                      0,                      0,                 3.1754,                 4.3767,                 4.1623,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0544,                 4.4335,                 4.1518,                      0,                      0,                      0,                      0,                 3.1675,                 4.3759,                 4.1597,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.0283,                 4.3207,                 4.0267,                      0,                      0,                      0,                      0,                 3.1543,                 4.3676,                 4.1521,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.6412,                 4.1046,                 3.8789,                      0,                      0,                      0,                      0,                 3.1437,                 4.3657,                 4.1438,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.3282,                 3.9272,                 3.7732,                      0,                      0,                      0,                      0,                 3.1636,                  4.386,                 4.1431,             0.00031001,             0.00031001,             0.00031001
                      6,                 3.1367,                  3.765,                 3.6054,                      0,                      0,                      0,                      0,                 3.2053,                 4.3666,                 4.1551,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.9325,                 3.6928,                 3.4398,                      0,                      0,                      0,                      0,                 3.3323,                  4.425,                 4.1998,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.9114,                 3.5902,                 3.2233,                      0,                      0,                      0,                      0,                 3.3347,                  4.418,                 4.2272,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.8776,                 3.5154,                 3.0659,                      0,                      0,                      0,                      0,                 3.6027,                 4.5534,                 4.3645,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.8108,                 3.5149,                 2.9447,                      0,                      0,                      0,                      0,                 2.7504,                 4.2357,                 4.0852,             0.00061659,             0.00061659,             0.00061659
                     11,                 2.8446,                 3.5169,                 2.8552,                      0,                      0,                      0,                      0,                 2.7988,                 4.2576,                 4.2645,             0.00067663,             0.00067663,             0.00067663
                     12,                 2.7804,                 3.5035,                 2.7522,                      0,                      0,                      0,                      0,                 2.8145,                 3.9244,                 4.1292,             0.00068808,             0.00068808,             0.00068808
                     13,                 2.7538,                 3.5097,                 2.7047,                  1e-05,                0.00148,                  1e-05,                      0,                  2.692,                 3.6327,                 3.9388,             0.00068573,             0.00068573,             0.00068573
                     14,                 2.6919,                 3.5005,                 2.6573,                  1e-05,                0.00148,                  1e-05,                      0,                 2.5751,                 3.7366,                 3.9482,             0.00068337,             0.00068337,             0.00068337
                     15,                 2.6403,                 3.4952,                 2.6155,                0.00026,                0.04895,                0.00015,                  3e-05,                 2.6944,                 3.5042,                  3.696,             0.00068101,             0.00068101,             0.00068101
