                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2496,                 4.4741,                  4.206,                      0,                      0,                      0,                      0,                 3.1782,                 4.3764,                 4.1565,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0815,                 4.4293,                 4.1676,                      0,                      0,                      0,                      0,                 3.1661,                 4.3662,                  4.148,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.1566,                 4.3067,                 4.0868,                      0,                      0,                      0,                      0,                 3.1127,                 4.3337,                 4.1241,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.9552,                 4.0644,                 3.9774,                      0,                      0,                      0,                      0,                 2.9951,                 4.2687,                  4.078,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.5128,                 3.7987,                 3.8633,                      0,                      0,                      0,                      0,                 2.8766,                 4.1913,                 4.0309,             0.00031001,             0.00031001,             0.00031001
                      6,                 3.1328,                 3.4987,                 3.6768,                      0,                      0,                      0,                      0,                 2.8062,                 4.1271,                 3.9935,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.8271,                 3.2755,                 3.5094,                      0,                      0,                      0,                      0,                  2.665,                  4.119,                 3.9196,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.6026,                 2.9108,                 3.1951,                      0,                      0,                      0,                      0,                 2.5576,                 4.0577,                 3.8406,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.3254,                 2.6056,                 2.9255,                0.00291,                0.47322,                0.00315,                0.00069,                  2.639,                 4.0092,                 3.7306,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.1486,                 2.3819,                 2.7051,                0.00149,                0.05989,                0.00082,                0.00022,                 2.7297,                 3.9484,                 3.8515,             0.00061659,             0.00061659,             0.00061659
                     11,                 2.0295,                 2.2286,                 2.5123,                0.00241,                0.41721,                0.01413,                0.00237,                  3.097,                 4.0959,                  3.893,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.9676,                 2.0639,                 2.3574,                0.00424,                0.40386,                0.02408,                0.00389,                 3.3339,                 3.9054,                 3.8624,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.8323,                 1.9674,                 2.2064,                0.00527,                0.35723,                0.02047,                  0.004,                 3.3367,                 3.9688,                 3.9089,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.7396,                  1.844,                  2.136,                0.00576,                0.66758,                 0.0448,                 0.0109,                 2.7066,                 3.5789,                  3.557,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.6823,                 1.7628,                 2.0562,                 0.0053,                0.46966,                0.02343,                0.00464,                 3.0643,                 3.7706,                 3.7431,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.6223,                  1.696,                 2.0048,                0.39818,                 0.1215,                0.10087,                0.02747,                  2.707,                 3.2167,                    3.1,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.5732,                 1.5961,                 1.9372,                 0.2704,                0.17204,                0.16233,                0.04802,                 2.7711,                 2.9066,                 3.0131,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.5374,                 1.5423,                 1.9066,                 0.5305,                0.12201,                0.25091,                  0.105,                 2.2691,                 2.8407,                 3.0313,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.5152,                 1.4633,                 1.8324,                0.39573,                0.23578,                0.27738,                0.11214,                  2.446,                 2.6069,                 2.8114,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.4868,                 1.4177,                 1.8018,                0.38326,                0.35042,                0.33347,                0.16301,                 1.9725,                 2.2931,                  2.534,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.4468,                 1.4191,                 1.7622,                0.49777,                0.60652,                 0.5647,                0.32601,                 1.4297,                 1.6326,                 2.0128,             0.00066688,             0.00066688,             0.00066688
                     22,                 1.4405,                 1.3727,                 1.7511,                0.49355,                0.56664,                0.53631,                0.31268,                 1.4595,                 1.7612,                 2.0841,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.4016,                 1.3321,                 1.7032,                0.49825,                0.63225,                0.56706,                0.33647,                 1.3719,                 1.5461,                  1.957,             0.00066216,             0.00066216,             0.00066216
                     24,                 1.3833,                 1.3253,                 1.7003,                0.64682,                0.63266,                0.69865,                0.42021,                 1.3681,                 1.6276,                 2.0055,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.3655,                 1.2797,                 1.6746,                0.60514,                0.58075,                 0.6148,                0.36851,                 1.4474,                 1.7581,                 2.0625,             0.00065745,             0.00065745,             0.00065745
                     26,                 1.3716,                  1.273,                 1.6708,                0.64286,                0.73206,                0.73495,                0.45725,                 1.2633,                 1.2352,                 1.8303,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.3325,                 1.2231,                 1.6227,                0.70609,                0.74998,                0.78568,                0.49392,                  1.248,                 1.1627,                 1.8043,             0.00065274,             0.00065274,             0.00065274
                     28,                 1.3361,                 1.2199,                 1.6393,                0.67223,                0.70599,                0.73757,                0.43624,                 1.3959,                 1.3985,                 1.9533,             0.00065038,             0.00065038,             0.00065038
                     29,                 1.3202,                 1.2259,                 1.6357,                0.71865,                0.68784,                0.75327,                0.47135,                 1.2505,                  1.218,                 1.8096,             0.00064803,             0.00064803,             0.00064803
                     30,                 1.3104,                 1.1779,                 1.6113,                0.73996,                0.75959,                0.80471,                0.52073,                 1.1905,                 1.1398,                  1.766,             0.00064567,             0.00064567,             0.00064567
                     31,                  1.318,                 1.1725,                 1.6026,                0.70324,                0.76701,                0.78801,                0.49688,                 1.2173,                 1.1562,                 1.7668,             0.00064331,             0.00064331,             0.00064331
                     32,                 1.3257,                 1.1752,                 1.6065,                0.72772,                0.74183,                0.78554,                0.49881,                 1.2196,                 1.2651,                 1.7858,             0.00064096,             0.00064096,             0.00064096
                     33,                 1.2711,                 1.1631,                 1.5947,                0.73603,                0.79241,                0.82209,                0.54154,                 1.1462,                 1.0497,                 1.7217,              0.0006386,              0.0006386,              0.0006386
                     34,                  1.285,                 1.1386,                 1.5814,                0.71729,                0.80254,                0.80853,                0.52077,                 1.1722,                 1.0621,                 1.7242,             0.00063625,             0.00063625,             0.00063625
                     35,                 1.2458,                  1.114,                 1.5565,                0.69564,                0.78777,                0.78837,                0.50427,                 1.2059,                  1.141,                 1.7494,             0.00063389,             0.00063389,             0.00063389
                     36,                 1.2708,                 1.1454,                 1.5599,                0.75135,                0.79732,                0.83159,                0.55417,                 1.1472,                 1.0165,                 1.6979,             0.00063153,             0.00063153,             0.00063153
                     37,                 1.2514,                 1.1143,                 1.5549,                0.76136,                0.79361,                0.84706,                0.56797,                 1.1045,                0.97833,                 1.6613,             0.00062918,             0.00062918,             0.00062918
                     38,                 1.2444,                  1.089,                 1.5577,                0.71014,                  0.749,                 0.8001,                0.51991,                 1.1968,                 1.3041,                 1.7765,             0.00062682,             0.00062682,             0.00062682
                     39,                 1.2321,                 1.1017,                 1.5322,                 0.7517,                0.77972,                0.82841,                   0.55,                 1.1478,                  1.148,                 1.7159,             0.00062446,             0.00062446,             0.00062446
                     40,                 1.2657,                 1.0845,                 1.5638,                0.73946,                0.84154,                0.84168,                0.57267,                 1.0686,                 1.0306,                 1.6184,             0.00062211,             0.00062211,             0.00062211
                     41,                 1.2394,                  1.028,                 1.5244,                0.74037,                0.81603,                0.85188,                0.57431,                 1.1156,                0.97541,                 1.6686,             0.00061975,             0.00061975,             0.00061975
                     42,                  1.244,                 1.0633,                 1.5416,                0.78182,                0.78188,                0.85181,                 0.5711,                 1.1302,                0.94665,                 1.6811,              0.0006174,              0.0006174,              0.0006174
                     43,                 1.2229,                  1.048,                 1.5242,                0.68959,                0.77247,                0.78908,                0.52328,                 1.1585,                 1.2623,                 1.6964,             0.00061504,             0.00061504,             0.00061504
                     44,                 1.2169,                 1.0169,                 1.5018,                 0.7825,                0.78286,                0.84032,                0.55185,                  1.183,                 1.1076,                 1.7362,             0.00061268,             0.00061268,             0.00061268
                     45,                 1.2141,                 1.0232,                 1.4988,                0.77481,                0.81845,                0.86272,                0.59042,                 1.0819,                0.89798,                 1.6299,             0.00061033,             0.00061033,             0.00061033
                     46,                 1.1865,                 1.0012,                 1.4787,                0.79444,                0.83391,                0.87967,                0.57545,                 1.1714,                0.97655,                 1.7041,             0.00060797,             0.00060797,             0.00060797
                     47,                 1.2305,                 1.0233,                 1.5327,                0.79604,                0.81253,                0.86995,                0.57796,                 1.1286,                0.88882,                 1.6742,             0.00060561,             0.00060561,             0.00060561
                     48,                 1.1915,                0.98753,                 1.5039,                0.79254,                0.80759,                0.86485,                0.58093,                 1.1131,                0.95714,                 1.6743,             0.00060326,             0.00060326,             0.00060326
                     49,                 1.2015,                0.99228,                 1.4887,                0.77296,                0.77018,                0.85274,                0.57011,                 1.1419,                0.98982,                 1.6921,              0.0006009,              0.0006009,              0.0006009
                     50,                 1.2071,                 1.0072,                  1.493,                0.69626,                0.68248,                0.73131,                0.46878,                 1.2183,                 1.1788,                 1.7462,             0.00059855,             0.00059855,             0.00059855
                     51,                 1.1845,                 1.0029,                 1.4919,                0.76008,                0.85536,                0.85082,                0.57098,                 1.1088,                0.88253,                 1.6402,             0.00059619,             0.00059619,             0.00059619
                     52,                 1.1667,                0.98836,                 1.4668,                0.76997,                0.83685,                0.87424,                0.60166,                 1.0709,                0.84983,                 1.6204,             0.00059383,             0.00059383,             0.00059383
                     53,                 1.1791,                0.95528,                  1.473,                0.80681,                0.79779,                0.87356,                0.57818,                 1.1409,                0.89153,                  1.664,             0.00059148,             0.00059148,             0.00059148
                     54,                 1.1676,                0.97089,                 1.4673,                0.79011,                0.81381,                0.87257,                0.61391,                 1.0409,                0.87367,                 1.5812,             0.00058912,             0.00058912,             0.00058912
                     55,                 1.1594,                0.97334,                 1.4666,                0.77339,                0.80225,                0.86116,                0.58762,                 1.1006,                0.89239,                 1.6338,             0.00058677,             0.00058677,             0.00058677
                     56,                 1.1571,                0.94499,                 1.4818,                0.79106,                0.81746,                0.87626,                0.59407,                 1.1109,                0.98118,                 1.6483,             0.00058441,             0.00058441,             0.00058441
                     57,                 1.1602,                0.95141,                  1.464,                0.78927,                0.82932,                0.86818,                0.59818,                 1.0852,                0.81186,                 1.6103,             0.00058205,             0.00058205,             0.00058205
                     58,                 1.1738,                0.95319,                 1.4868,                0.83086,                0.82308,                0.88949,                0.61044,                 1.1021,                0.81273,                 1.6426,              0.0005797,              0.0005797,              0.0005797
                     59,                 1.1448,                0.93357,                 1.4524,                0.82749,                0.85082,                0.89237,                0.61398,                 1.0851,                0.79261,                 1.6155,             0.00057734,             0.00057734,             0.00057734
                     60,                 1.1535,                0.93824,                 1.4728,                0.79524,                0.85799,                0.88575,                0.61967,                 1.0415,                0.88055,                 1.5896,             0.00057498,             0.00057498,             0.00057498
                     61,                 1.1548,                0.93141,                 1.4663,                0.71878,                0.81988,                0.83455,                0.55643,                 1.1369,                 0.9776,                  1.651,             0.00057263,             0.00057263,             0.00057263
                     62,                 1.1518,                0.92432,                 1.4506,                0.80331,                0.86935,                0.89594,                0.60066,                 1.1095,                0.80116,                 1.6295,             0.00057027,             0.00057027,             0.00057027
                     63,                 1.1714,                0.93703,                 1.4636,                0.81275,                0.85588,                0.90522,                0.63497,                 1.0336,                0.77441,                 1.5736,             0.00056792,             0.00056792,             0.00056792
                     64,                 1.1365,                0.91789,                 1.4392,                0.81374,                0.86974,                 0.9017,                0.61836,                 1.0751,                0.75341,                 1.6246,             0.00056556,             0.00056556,             0.00056556
                     65,                 1.1377,                0.89333,                 1.4451,                0.80915,                0.86526,                0.90283,                0.62007,                 1.1028,                0.76574,                 1.6383,              0.0005632,              0.0005632,              0.0005632
                     66,                 1.1556,                0.89384,                 1.4551,                0.77043,                0.84441,                0.85403,                0.57331,                 1.1015,                 0.8546,                 1.6364,             0.00056085,             0.00056085,             0.00056085
                     67,                 1.1415,                0.90342,                 1.4422,                0.79934,                0.86077,                 0.8835,                 0.6244,                 1.0483,                0.82989,                 1.5804,             0.00055849,             0.00055849,             0.00055849
                     68,                 1.1017,                0.88369,                 1.4273,                 0.7846,                0.88589,                0.89546,                0.62465,                 1.0569,                0.82384,                  1.582,             0.00055613,             0.00055613,             0.00055613
                     69,                 1.1122,                0.89396,                 1.4236,                0.78358,                0.89073,                0.89278,                0.62925,                 1.0359,                0.79437,                 1.5823,             0.00055378,             0.00055378,             0.00055378
                     70,                 1.1064,                0.86524,                 1.4245,                0.84011,                0.84615,                0.90412,                0.63877,                 1.0425,                  0.759,                 1.5697,             0.00055142,             0.00055142,             0.00055142
                     71,                 1.1447,                0.88847,                 1.4571,                0.81005,                0.84794,                0.89909,                0.62481,                 1.0425,                0.83521,                 1.5892,             0.00054907,             0.00054907,             0.00054907
                     72,                 1.0924,                0.85475,                 1.4091,                0.82016,                 0.8767,                0.90011,                0.63128,                 1.0548,                 0.8054,                 1.5804,             0.00054671,             0.00054671,             0.00054671
                     73,                 1.1064,                0.87278,                 1.4148,                0.81762,                0.88346,                0.90353,                0.63985,                 1.0398,                0.73265,                 1.5671,             0.00054435,             0.00054435,             0.00054435
                     74,                 1.0865,                0.86589,                 1.4083,                0.79668,                0.87399,                0.89432,                 0.6333,                 1.0101,                0.74369,                 1.5469,               0.000542,               0.000542,               0.000542
                     75,                  1.114,                0.88079,                 1.4181,                0.79938,                0.87341,                0.88955,                0.62183,                 1.0263,                0.76019,                 1.5708,             0.00053964,             0.00053964,             0.00053964
