                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1546,                 9.8021,                 4.1439,                      0,                      0,                      0,                      0,                 1.7428,                 25.532,                 3.5922,             0.00022848,             0.00022848,             0.00022848
                      2,                 2.2018,                 8.1939,                 3.6384,                      0,                      0,                      0,                      0,                 1.6863,                 25.492,                 3.5056,             0.00046257,             0.00046257,             0.00046257
                      3,                 1.7064,                 6.7833,                 2.9087,                  2e-05,                0.00074,                  1e-05,                      0,                 1.2603,                 10.686,                 3.2452,              0.0006951,              0.0006951,              0.0006951
                      4,                 1.3672,                 5.6913,                 2.4125,                0.00591,                0.66259,                0.02378,                0.00834,                 1.1752,                 18.167,                 2.9344,             0.00070693,             0.00070693,             0.00070693
                      5,                 1.1847,                 4.8479,                 2.1909,                0.21858,                0.30254,                0.17841,                0.08648,                0.98652,                 92.756,                 2.2227,             0.00070458,             0.00070458,             0.00070458
                      6,                 1.0124,                 4.0819,                   1.99,                0.34434,                0.46879,                0.33243,                0.16982,                0.86896,                 117.02,                 1.9996,             0.00070222,             0.00070222,             0.00070222
                      7,                0.95394,                 3.7101,                 1.9209,                0.40799,                0.66366,                 0.5353,                0.27779,                0.81089,                 108.13,                  1.912,             0.00069986,             0.00069986,             0.00069986
                      8,                0.90968,                 3.4066,                 1.8429,                0.52854,                0.57297,                0.57589,                 0.2957,                 0.8339,                 54.879,                 1.9329,             0.00069751,             0.00069751,             0.00069751
                      9,                0.85286,                 3.1649,                 1.7677,                0.54457,                0.66489,                0.64237,                0.38073,                0.65695,                 114.38,                 1.6648,             0.00069515,             0.00069515,             0.00069515
                     10,                0.84074,                  3.102,                 1.7399,                0.63605,                0.73506,                0.72791,                0.44093,                0.63964,                 116.74,                 1.6492,             0.00069279,             0.00069279,             0.00069279
                     11,                0.82833,                 2.9398,                 1.7227,                0.66059,                0.59758,                 0.6567,                0.38598,                0.67435,                 9.8021,                 1.7513,             0.00069044,             0.00069044,             0.00069044
                     12,                0.81272,                 2.9204,                 1.6803,                0.67298,                0.71436,                0.73586,                0.42527,                0.66858,                 20.397,                 1.6911,             0.00068808,             0.00068808,             0.00068808
                     13,                0.81223,                 2.8788,                 1.7015,                0.70821,                0.74155,                0.77498,                0.48639,                0.61485,                 23.427,                 1.5954,             0.00068573,             0.00068573,             0.00068573
                     14,                0.78885,                 2.7524,                 1.6548,                0.65985,                0.65249,                0.68442,                0.41169,                0.66253,                 16.918,                 1.6649,             0.00068337,             0.00068337,             0.00068337
                     15,                 0.7658,                 2.6456,                 1.6259,                0.63796,                0.74451,                0.74351,                0.47359,                0.60526,                 89.827,                 1.5798,             0.00068101,             0.00068101,             0.00068101
                     16,                0.76215,                 2.6798,                 1.6267,                0.69934,                0.68364,                0.73872,                0.45306,                0.61631,                 8.2792,                 1.5967,             0.00067866,             0.00067866,             0.00067866
