                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                -1.5882,                 9.7522,                 4.0978,                      0,                      0,                      0,                      0,                -1.8822,                 25.521,                 3.5824,             0.00022848,             0.00022848,             0.00022848
                      2,                -2.0367,                 7.9466,                 3.4691,                      0,                      0,                      0,                      0,                -1.9707,                 20.549,                 3.4788,             0.00046257,             0.00046257,             0.00046257
                      3,                -2.3238,                 6.4726,                 2.7995,                  2e-05,                0.00106,                  1e-05,                  1e-05,                -2.1429,                 9.1614,                 3.2605,              0.0006951,              0.0006951,              0.0006951
                      4,                -2.5334,                 5.3479,                 2.3475,                0.00625,                0.25254,                 0.0113,                 0.0028,                -2.1475,                 8.3239,                 3.2259,             0.00070693,             0.00070693,             0.00070693
                      5,                -2.6494,                  4.618,                 2.1533,                0.22974,                0.34483,                0.19262,                0.07592,                -2.2953,                 101.09,                 2.2886,             0.00070458,             0.00070458,             0.00070458
                      6,                -2.7374,                 3.9455,                  1.986,                0.48011,                0.53999,                0.48264,                 0.2684,                -2.4559,                 47.403,                  1.935,             0.00070222,             0.00070222,             0.00070222
                      7,                 -2.771,                 3.6689,                 1.9325,                0.52469,                0.60891,                0.57239,                0.30044,                 -2.468,                 83.875,                 1.8174,             0.00069986,             0.00069986,             0.00069986
                      8,                -2.8086,                   3.34,                 1.8423,                0.61851,                0.66894,                0.67113,                0.34465,                -2.4392,                 76.549,                   1.91,             0.00069751,             0.00069751,             0.00069751
                      9,                -2.8317,                 3.1768,                 1.7937,                0.62901,                0.69207,                0.70692,                0.41023,                -2.5164,                   21.6,                 1.7444,             0.00069515,             0.00069515,             0.00069515
                     10,                -2.8486,                 3.0941,                 1.7493,                 0.6705,                0.71225,                0.73325,                0.44465,                -2.5588,                 41.643,                 1.6621,             0.00069279,             0.00069279,             0.00069279
                     11,                -2.8568,                  2.931,                 1.7392,                 0.5747,                0.56267,                0.58789,                0.35973,                -2.5517,                 13.529,                 1.6796,             0.00069044,             0.00069044,             0.00069044
                     12,                -2.8667,                  2.897,                  1.696,                0.71714,                0.73318,                0.78977,                0.49228,                -2.5663,                  24.33,                 1.6198,             0.00068808,             0.00068808,             0.00068808
                     13,                -2.8801,                 2.8253,                 1.6931,                0.70751,                0.76718,                 0.7827,                0.49117,                 -2.576,                 23.765,                 1.5988,             0.00068573,             0.00068573,             0.00068573
                     14,                -2.8886,                 2.7219,                 1.6604,                0.67344,                0.78642,                0.80152,                 0.4738,                -2.5376,                 42.978,                 1.6735,             0.00068337,             0.00068337,             0.00068337
                     15,                -2.8966,                 2.6433,                 1.6441,                0.63796,                0.70574,                0.72702,                0.43212,                 -2.549,                 93.776,                 1.6313,             0.00068101,             0.00068101,             0.00068101
                     16,                -2.9067,                 2.6505,                 1.6343,                0.68303,                0.65271,                0.69727,                0.43156,                -2.5675,                 5.9858,                 1.6139,             0.00067866,             0.00067866,             0.00067866
                     17,                -2.9122,                 2.6114,                 1.6121,                0.77274,                 0.7742,                0.83257,                0.51213,                -2.5781,                 19.373,                 1.5965,              0.0006763,              0.0006763,              0.0006763
                     18,                -2.9166,                 2.5968,                 1.6225,                0.74419,                0.80554,                0.83343,                0.53734,                -2.6006,                 97.938,                 1.5294,             0.00067394,             0.00067394,             0.00067394
                     19,                -2.9112,                 2.5223,                  1.598,                0.61486,                 0.6692,                0.68237,                0.40649,                -2.5226,                 113.95,                 1.6866,             0.00067159,             0.00067159,             0.00067159
                     20,                -2.9416,                  2.359,                 1.5495,                0.78489,                0.82516,                 0.8724,                0.57245,                -2.6172,                 58.186,                 1.4904,             0.00066923,             0.00066923,             0.00066923
                     21,                -2.9392,                 2.3686,                 1.5554,                0.79302,                0.84503,                0.88303,                0.58312,                -2.6041,                 24.313,                  1.503,             0.00066688,             0.00066688,             0.00066688
                     22,                -2.9373,                 2.3528,                 1.5685,                0.73128,                0.82454,                0.86232,                0.56027,                -2.6079,                 34.744,                 1.5068,             0.00066452,             0.00066452,             0.00066452
                     23,                -2.9433,                 2.3034,                  1.542,                0.76335,                0.79868,                0.84314,                0.54871,                -2.6107,                 33.433,                 1.4951,             0.00066216,             0.00066216,             0.00066216
                     24,                 -2.947,                 2.2898,                 1.5487,                0.74067,                0.85029,                0.86516,                0.54247,                -2.5886,                 34.662,                 1.5613,             0.00065981,             0.00065981,             0.00065981
                     25,                -2.9493,                 2.2588,                 1.5336,                0.77842,                  0.838,                0.88065,                0.60402,                -2.6391,                 90.258,                 1.4258,             0.00065745,             0.00065745,             0.00065745
                     26,                -2.9394,                 2.3152,                 1.5588,                0.79494,                0.79322,                0.86655,                 0.5823,                -2.6329,                 35.886,                 1.4562,             0.00065509,             0.00065509,             0.00065509
                     27,                -2.9574,                 2.1946,                 1.5137,                0.79588,                0.80618,                0.88983,                0.59314,                  -2.63,                 133.46,                 1.4641,             0.00065274,             0.00065274,             0.00065274
                     28,                -2.9486,                 2.2034,                 1.5459,                0.78943,                0.84757,                0.88751,                0.55763,                -2.5884,                 59.811,                 1.5093,             0.00065038,             0.00065038,             0.00065038
                     29,                  -2.96,                 2.2127,                 1.5397,                0.81448,                0.84842,                0.89148,                0.60794,                 -2.638,                  43.73,                 1.4294,             0.00064803,             0.00064803,             0.00064803
                     30,                -2.9694,                 2.1694,                 1.4946,                0.79765,                0.84357,                0.89282,                0.60616,                -2.6378,                 23.715,                 1.4377,             0.00064567,             0.00064567,             0.00064567
                     31,                -2.9638,                 2.0781,                 1.5098,                0.79276,                0.81901,                0.88163,                0.59164,                -2.6294,                  4.632,                 1.4529,             0.00064331,             0.00064331,             0.00064331
                     32,                -2.9675,                 2.1079,                 1.4922,                0.80136,                0.87978,                0.90778,                0.62922,                -2.6521,                 44.064,                 1.4117,             0.00064096,             0.00064096,             0.00064096
                     33,                -2.9747,                 2.0407,                 1.4881,                0.81005,                0.85773,                0.89284,                0.59846,                -2.6207,                 9.5179,                  1.467,              0.0006386,              0.0006386,              0.0006386
                     34,                -2.9731,                 2.0321,                 1.4855,                0.83219,                0.81567,                0.89084,                0.61775,                 -2.644,                 81.428,                 1.4188,             0.00063625,             0.00063625,             0.00063625
                     35,                -2.9766,                 2.0688,                  1.492,                0.83365,                0.87976,                0.90666,                0.62015,                -2.6422,                 14.665,                 1.4201,             0.00063389,             0.00063389,             0.00063389
                     36,                 -2.981,                 1.9668,                 1.4682,                0.82405,                0.87187,                0.90314,                0.62046,                -2.6432,                 14.512,                 1.4205,             0.00063153,             0.00063153,             0.00063153
                     37,                -2.9746,                 2.0285,                 1.4731,                0.83268,                0.86183,                0.91724,                0.63398,                -2.6401,                   24.4,                 1.4341,             0.00062918,             0.00062918,             0.00062918
                     38,                -2.9725,                 2.0073,                 1.5025,                0.76897,                0.79985,                0.85526,                0.57405,                -2.6232,                 97.912,                 1.4627,             0.00062682,             0.00062682,             0.00062682
                     39,                -2.9849,                 1.9637,                 1.4673,                0.84465,                0.86741,                0.91937,                0.64344,                -2.6564,                 19.379,                 1.3915,             0.00062446,             0.00062446,             0.00062446
                     40,                -2.9799,                  1.944,                 1.4742,                0.85528,                0.89392,                0.93582,                0.64127,                -2.6409,                 17.755,                 1.4195,             0.00062211,             0.00062211,             0.00062211
                     41,                -2.9838,                 1.9025,                 1.4611,                0.84603,                 0.8635,                0.92213,                0.63549,                -2.6452,                 8.5074,                 1.4109,             0.00061975,             0.00061975,             0.00061975
                     42,                -2.9895,                  1.905,                 1.4611,                0.83241,                0.88005,                0.92058,                0.64402,                -2.6523,                 8.6057,                  1.396,              0.0006174,              0.0006174,              0.0006174
