                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2333,                 4.5044,                 4.2084,                      0,                      0,                      0,                      0,                 3.1754,                 4.3735,                 4.1571,              5.712e-05,              5.712e-05,              5.712e-05
                      2,                 4.0646,                 4.4353,                 4.1585,                      0,                      0,                      0,                      0,                 3.1658,                 4.3636,                 4.1469,             0.00012098,             0.00012098,             0.00012098
                      3,                 4.1164,                 4.3187,                 4.0437,                      0,                      0,                      0,                      0,                 3.1045,                 4.3336,                 4.1165,             0.00018441,             0.00018441,             0.00018441
                      4,                 3.8716,                  4.107,                 3.9087,                      0,                      0,                      0,                      0,                  2.979,                 4.2865,                   4.06,             0.00024743,             0.00024743,             0.00024743
                      5,                 3.4099,                 3.9516,                 3.7653,                      0,                      0,                      0,                      0,                 2.8359,                 4.2232,                 3.9985,             0.00031001,             0.00031001,             0.00031001
                      6,                 3.0415,                 3.6986,                  3.526,                      0,                      0,                      0,                      0,                  2.682,                 4.1129,                 3.9236,             0.00037218,             0.00037218,             0.00037218
                      7,                 2.7594,                 3.4185,                 3.3442,                  6e-05,                0.00222,                  3e-05,                      0,                 2.6293,                 4.1301,                 3.8716,             0.00043391,             0.00043391,             0.00043391
                      8,                 2.5962,                 3.0107,                 3.0139,                0.00202,                0.29301,                0.00182,                0.00034,                 2.5983,                  4.118,                 3.8371,             0.00049523,             0.00049523,             0.00049523
                      9,                 2.2924,                 2.5949,                 2.7168,                0.00328,                0.53614,                0.00435,                0.00102,                 2.6549,                 4.0778,                 3.6267,             0.00055612,             0.00055612,             0.00055612
                     10,                 2.0949,                 2.3098,                 2.4252,                0.00306,                 0.3236,                0.00453,                0.00071,                 2.8425,                 4.6508,                 3.8996,             0.00061659,             0.00061659,             0.00061659
                     11,                 1.9425,                 2.1332,                 2.2173,                0.00213,                0.26721,                0.00671,                0.00102,                  2.995,                 4.2741,                 3.9831,             0.00067663,             0.00067663,             0.00067663
                     12,                 1.8401,                 1.9914,                 2.0539,                0.00281,                0.20725,                0.00377,                0.00067,                 2.9969,                 4.3346,                 3.9923,             0.00068808,             0.00068808,             0.00068808
                     13,                 1.7169,                 1.8521,                 1.9437,                0.00084,                0.06473,                0.00195,                0.00026,                 3.0057,                 4.2554,                 3.9534,             0.00068573,             0.00068573,             0.00068573
                     14,                 1.6563,                 1.7311,                 1.8939,                0.00054,                0.07231,                0.00478,                0.00086,                  3.021,                 4.1132,                 3.8411,             0.00068337,             0.00068337,             0.00068337
                     15,                 1.5875,                 1.6751,                 1.8188,                0.00336,                 0.2359,                0.01077,                 0.0032,                 2.9501,                 4.1228,                 3.7648,             0.00068101,             0.00068101,             0.00068101
                     16,                 1.5542,                 1.6098,                 1.7757,                0.00275,                0.21683,                0.01515,                0.00433,                 2.9228,                 4.0794,                 3.5548,             0.00067866,             0.00067866,             0.00067866
                     17,                 1.5348,                 1.5653,                 1.7452,                0.25364,                0.03487,                0.08158,                0.02778,                 2.4977,                 3.6894,                 3.2922,              0.0006763,              0.0006763,              0.0006763
                     18,                 1.4561,                 1.4607,                 1.6987,                0.29134,                0.04146,                0.08686,                0.03926,                 2.3747,                 3.7076,                 3.2277,             0.00067394,             0.00067394,             0.00067394
                     19,                 1.4506,                 1.4069,                 1.6553,                0.30924,                0.13344,                0.14134,                0.06561,                 2.1241,                 3.2587,                 2.9785,             0.00067159,             0.00067159,             0.00067159
                     20,                 1.4255,                 1.3935,                 1.6289,                0.55149,                0.59665,                0.60015,                0.35498,                 1.4152,                 1.6194,                 1.7244,             0.00066923,             0.00066923,             0.00066923
                     21,                 1.4013,                  1.412,                  1.604,                0.53129,                0.60529,                 0.6049,                0.36982,                 1.3851,                 1.8611,                 1.6892,             0.00066688,             0.00066688,             0.00066688
                     22,                  1.366,                 1.3292,                 1.5924,                0.61382,                0.60709,                0.65192,                0.40098,                 1.3118,                 1.4915,                 1.5903,             0.00066452,             0.00066452,             0.00066452
                     23,                 1.3552,                    1.3,                 1.5595,                0.60141,                0.58165,                0.61308,                0.37188,                 1.4127,                 1.5925,                  1.709,             0.00066216,             0.00066216,             0.00066216
                     24,                  1.334,                 1.2961,                 1.5572,                0.62542,                 0.6845,                0.72479,                 0.4544,                 1.2405,                 1.3941,                 1.5681,             0.00065981,             0.00065981,             0.00065981
                     25,                 1.3186,                 1.2392,                 1.5353,                0.67936,                0.73198,                0.73739,                0.46716,                 1.2161,                 1.2424,                 1.5152,             0.00065745,             0.00065745,             0.00065745
                     26,                 1.3435,                 1.2393,                 1.5466,                0.67553,                0.73321,                0.76405,                 0.4801,                 1.2411,                 1.2097,                 1.5368,             0.00065509,             0.00065509,             0.00065509
                     27,                 1.3125,                 1.2105,                 1.5153,                0.71575,                0.73513,                0.77777,                0.48444,                 1.2596,                 1.2446,                 1.5386,             0.00065274,             0.00065274,             0.00065274
                     28,                 1.3059,                 1.2044,                 1.5215,                 0.6872,                0.78271,                0.79048,                0.51884,                 1.1442,                 1.1475,                 1.4497,             0.00065038,             0.00065038,             0.00065038
                     29,                 1.2861,                  1.226,                 1.5042,                0.69972,                0.71848,                0.77026,                0.50538,                 1.1597,                 1.1592,                 1.4463,             0.00064803,             0.00064803,             0.00064803
                     30,                 1.2926,                 1.1712,                    1.5,                0.74241,                0.78722,                0.83141,                0.55626,                 1.1049,                 1.0453,                 1.4081,             0.00064567,             0.00064567,             0.00064567
                     31,                 1.2818,                 1.1624,                 1.4992,                 0.7258,                0.78299,                0.81991,                0.52484,                  1.159,                 1.0753,                 1.4222,             0.00064331,             0.00064331,             0.00064331
                     32,                 1.2922,                 1.1758,                 1.4896,                0.76064,                0.79156,                0.84667,                 0.5557,                 1.1617,                 1.0145,                 1.4044,             0.00064096,             0.00064096,             0.00064096
                     33,                 1.2457,                  1.135,                 1.4767,                0.67114,                0.69277,                 0.7474,                0.49531,                 1.1757,                 1.2636,                 1.4632,              0.0006386,              0.0006386,              0.0006386
                     34,                 1.2658,                  1.122,                 1.4713,                 0.7538,                0.77558,                0.81138,                0.52883,                 1.1469,                 1.0889,                 1.4446,             0.00063625,             0.00063625,             0.00063625
                     35,                  1.228,                  1.094,                 1.4486,                0.75588,                0.82402,                0.85044,                0.58063,                 1.0876,                0.97063,                 1.3594,             0.00063389,             0.00063389,             0.00063389
                     36,                  1.254,                 1.1216,                 1.4579,                0.77028,                0.79923,                0.84943,                0.56409,                 1.0951,                 1.0277,                 1.4291,             0.00063153,             0.00063153,             0.00063153
                     37,                 1.2469,                 1.1031,                 1.4519,                0.75508,                0.79077,                 0.8432,                0.56529,                 1.1175,                 1.0274,                 1.3774,             0.00062918,             0.00062918,             0.00062918
                     38,                 1.2144,                 1.0684,                 1.4389,                0.80033,                0.77606,                0.84866,                0.56312,                 1.1291,                 1.1083,                 1.4462,             0.00062682,             0.00062682,             0.00062682
                     39,                 1.2283,                  1.108,                 1.4373,                0.80344,                0.78882,                 0.8578,                0.58566,                 1.1072,                0.97581,                 1.3643,             0.00062446,             0.00062446,             0.00062446
                     40,                  1.253,                 1.0851,                 1.4584,                0.78182,                0.82475,                0.86812,                0.59276,                 1.0791,                0.94667,                 1.3382,             0.00062211,             0.00062211,             0.00062211
                     41,                 1.2105,                 1.0329,                 1.4234,                0.72283,                0.78951,                0.82181,                0.55906,                 1.0984,                 1.0686,                 1.3713,             0.00061975,             0.00061975,             0.00061975
                     42,                 1.2254,                 1.0445,                 1.4398,                0.74532,                0.79264,                 0.8422,                0.57272,                 1.0863,                0.99447,                  1.373,              0.0006174,              0.0006174,              0.0006174
                     43,                 1.1936,                 1.0285,                 1.4237,                0.75926,                0.82666,                0.82972,                0.56409,                 1.1209,                0.99261,                 1.4042,             0.00061504,             0.00061504,             0.00061504
                     44,                 1.1909,                 1.0051,                 1.4013,                0.79915,                0.81416,                0.86454,                0.58155,                 1.1102,                0.90324,                 1.3531,             0.00061268,             0.00061268,             0.00061268
                     45,                 1.2012,                 1.0295,                 1.4115,                0.77288,                0.84164,                0.87762,                0.58188,                 1.1289,                0.93759,                  1.387,             0.00061033,             0.00061033,             0.00061033
                     46,                 1.1686,                 1.0034,                 1.3951,                0.78532,                0.81837,                0.86188,                 0.5806,                 1.1039,                0.94073,                 1.3654,             0.00060797,             0.00060797,             0.00060797
                     47,                 1.1939,                 1.0205,                 1.4249,                0.72659,                0.82354,                0.82698,                0.56408,                 1.0863,                0.99912,                 1.3847,             0.00060561,             0.00060561,             0.00060561
                     48,                 1.1672,                0.97213,                 1.4023,                0.78775,                0.86269,                0.88431,                0.61047,                 1.0648,                0.85618,                 1.3201,             0.00060326,             0.00060326,             0.00060326
                     49,                 1.1785,                0.99271,                 1.3881,                 0.7869,                 0.8459,                0.87991,                0.60278,                 1.1038,                0.91375,                  1.386,              0.0006009,              0.0006009,              0.0006009
                     50,                 1.1838,                 1.0116,                 1.3889,                0.73247,                0.84523,                0.87199,                0.58202,                 1.1016,                0.92521,                 1.3527,             0.00059855,             0.00059855,             0.00059855
                     51,                 1.1561,                0.98137,                  1.386,                0.74786,                0.83782,                0.85014,                0.59408,                 1.0445,                 1.0067,                 1.3015,             0.00059619,             0.00059619,             0.00059619
                     52,                 1.1445,                0.97136,                 1.3828,                0.79421,                 0.8232,                0.88227,                0.59513,                  1.094,                0.89069,                 1.3601,             0.00059383,             0.00059383,             0.00059383
                     53,                 1.1708,                0.95062,                  1.377,                0.77305,                0.82848,                0.86462,                0.60946,                 1.0574,                0.88502,                 1.2659,             0.00059148,             0.00059148,             0.00059148
                     54,                 1.1488,                0.95573,                 1.3629,                0.79446,                0.85788,                0.89935,                0.61311,                 1.0833,                0.84662,                  1.338,             0.00058912,             0.00058912,             0.00058912
                     55,                  1.134,                0.93775,                 1.3674,                0.79121,                 0.8448,                0.87624,                0.61157,                 1.0751,                0.93919,                 1.3425,             0.00058677,             0.00058677,             0.00058677
                     56,                 1.1267,                0.93753,                 1.3761,                0.77883,                0.87824,                0.90616,                0.61146,                 1.0725,                0.82154,                 1.3488,             0.00058441,             0.00058441,             0.00058441
                     57,                 1.1113,                0.94241,                 1.3519,                0.77164,                0.86765,                0.87878,                0.61161,                 1.0467,                0.83856,                 1.2955,             0.00058205,             0.00058205,             0.00058205
                     58,                 1.1554,                0.94611,                 1.3868,                0.78117,                0.86856,                0.88838,                0.61873,                 1.0585,                0.84052,                 1.3592,              0.0005797,              0.0005797,              0.0005797
                     59,                 1.1175,                0.91182,                  1.345,                0.77709,                0.89268,                0.88695,                0.61899,                 1.0611,                0.84663,                 1.3117,             0.00057734,             0.00057734,             0.00057734
                     60,                 1.1195,                0.93377,                 1.3623,                0.79103,                0.85624,                 0.8841,                0.61399,                 1.0542,                0.89741,                 1.3352,             0.00057498,             0.00057498,             0.00057498
                     61,                 1.1397,                0.93112,                 1.3699,                0.83123,                 0.8741,                0.91508,                0.64424,                 1.0271,                0.76264,                 1.3081,             0.00057263,             0.00057263,             0.00057263
